,MARVELD1_10,NEFH_3,NEFH_21,ARL5B_29,EIF2S2_15,MARVELD1_5,SCAF8_24,ARL5B_52,SCAF8_16,SCAF8_29,SCAF8_34,SCAF8_33,EIF2S2_16,ARL5B_9,ARL5B_15,MARVELD1_12,SCAF8_11,NEFH_8,NEFH_18,SCAF8_32,SCAF8_31,NEFH_25,SCAF8_41,ARL5B_11,SCAF8_6,GHITM_2,NEFH_24,NEFH_29,ARL5B_2,SCAF8_22,ARL5B_50,ARL5B_7,NEFH_4,SCAF8_7,SCAF8_4,ARL5B_18,ARL5B_20,NEFH_13,EIF2S2_4,ARL5B_19,EIF2S2_13,NEFH_7,SCAF8_21,MARVELD1_25,EIF2S2_19,ARL5B_38,NEFH_14,ARL5B_31,ARL5B_16,EIF2S2_7,NEFH_6,ARL5B_36,ARL5B_10,NEFH_17,EIF2S2_20,MARVELD1_20,NEFH_9,NEFH_16,NEFH_11,ARL5B_5,EIF2S2_9,MARVELD1_8,ARL5B_21,ARL5B_43,ARL5B_46,NEFH_5,ARL5B_34,ARL5B_41,EIF2S2_12,ARL5B_22,ARL5B_35,MARVELD1_3,ARL5B_14,NEFH_20,MARVELD1_18,MARVELD1_13,GHITM_18,SCAF8_8,ARL5B_47,MARVELD1_22,SCAF8_36,SCAF8_26,EIF2S2_14,MARVELD1_26,SCAF8_10,EIF2S2_5,SCAF8_44,SCAF8_3,ARL5B_24,GHITM_9,SCAF8_17,GHITM_4,EIF2S2_21,SCAF8_1,ARL5B_25,EIF2S2_11,SCAF8_18,ARL5B_42,GHITM_17,MARVELD1_19,NEFH_26,GHITM_1,MARVELD1_21,ARL5B_48,SCAF8_14,ARL5B_53,MARVELD1_9,NEFH_28,ARL5B_51,GHITM_8,MARVELD1_27,MARVELD1_15,ARL5B_44,EIF2S2_18,MARVELD1_24,SCAF8_30,SCAF8_38,SCAF8_43,GHITM_16,ARL5B_37,MARVELD1_2,MARVELD1_7,EIF2S2_1,ARL5B_39,NEFH_1,SCAF8_25,EIF2S2_3,GHITM_12,SCAF8_19,EIF2S2_24,EIF2S2_6,SCAF8_9,GHITM_19,ARL5B_4,SCAF8_39,ARL5B_3,SCAF8_35,NEFH_23,EIF2S2_22,SCAF8_42,GHITM_7,ARL5B_1,NEFH_31,ARL5B_28,SCAF8_13,SCAF8_23,ARL5B_33,NEFH_30,GHITM_11,EIF2S2_10,NEFH_12,GHITM_14,SCAF8_27,NEFH_22,GHITM_3,NEFH_2,ARL5B_27,SCAF8_15,NEFH_27,NEFH_10,EIF2S2_23,ARL5B_12,MARVELD1_6,NEFH_15,GHITM_5,MARVELD1_1,ARL5B_26,ARL5B_45,ARL5B_23,ARL5B_32,EIF2S2_8,GHITM_13,MARVELD1_11,ARL5B_40,GHITM_10,SCAF8_40,ARL5B_49,MARVELD1_23,ARL5B_17,EIF2S2_2,ARL5B_8,SCAF8_2,MARVELD1_17,GHITM_15,ARL5B_13,MARVELD1_14,SCAF8_20,GHITM_20,ARL5B_30,MARVELD1_16,MARVELD1_4,ARL5B_6,NEFH_19,GHITM_6,SCAF8_37,SCAF8_5,EIF2S2_17,SCAF8_28,SCAF8_12,cell
97,3,3,0,5,3,0,5,5,26,7,3,7,31,8,4,5,11,1,0,3,5,0,5,6,8,14,11,0,10,2,6,3,2,2,1,4,12,6,2,5,3,0,2,4,1,4,0,14,6,3,2,13,6,4,25,6,0,0,0,10,2,2,7,8,9,1,6,2,25,1,15,1,8,8,10,7,19,9,3,4,8,8,22,4,11,28,4,4,8,0,3,19,1,10,6,1,1,13,2,6,0,12,4,3,8,4,4,0,3,17,129,0,0,26,3,6,6,2,14,12,6,6,0,3,0,12,2,20,2,19,0,6,1,9,4,0,9,2,30,4,15,3,3,7,5,4,9,5,17,24,0,14,9,0,3,1,8,4,3,19,33,2,0,1,23,2,2,10,5,5,51,14,2,3,15,6,2,1,10,0,7,8,8,29,14,5,4,21,1,0,5,9,28,20,5,9,23,6,9,H8G4E4
98,0,0,0,1,1,0,4,2,0,3,1,5,9,1,3,1,3,0,0,3,1,0,5,0,3,7,0,0,1,4,1,0,0,0,2,2,3,1,0,2,3,0,1,0,2,1,0,1,4,0,0,3,2,1,12,0,0,0,0,2,1,0,2,2,4,0,1,3,7,0,0,0,3,0,0,2,4,0,2,0,3,7,5,2,5,9,4,2,2,0,4,6,0,6,3,1,1,0,1,2,0,5,1,0,5,4,0,2,0,4,7,3,3,8,3,5,5,0,4,1,3,0,0,1,0,1,0,4,3,4,0,2,0,2,3,0,6,0,8,1,7,3,0,3,2,4,2,0,5,8,0,6,2,0,5,0,2,2,2,0,15,2,0,0,3,0,1,2,2,2,2,7,0,1,6,1,3,0,1,1,3,1,1,3,3,1,6,7,1,0,0,4,1,7,2,2,10,1,3,E9G2D4
99,7,13,0,7,4,0,4,5,6,4,3,8,20,3,10,3,7,2,0,8,1,0,2,5,11,12,0,0,4,5,1,4,2,1,3,6,4,4,2,3,1,0,0,4,2,1,0,2,0,0,0,1,6,4,48,3,0,0,0,0,0,6,3,5,9,0,2,0,16,2,5,2,2,0,6,4,8,8,1,5,5,13,28,7,8,14,3,4,2,0,10,5,0,3,5,1,0,3,0,2,0,9,2,10,7,9,3,1,0,52,13,3,2,26,3,7,3,8,47,1,3,3,1,3,0,6,2,5,24,23,0,1,0,4,5,2,16,1,17,10,16,2,5,3,3,1,2,0,10,31,0,7,7,0,5,0,0,4,12,0,28,0,1,0,7,0,3,5,7,7,0,5,5,3,10,2,3,1,6,0,5,6,5,15,7,6,2,15,3,3,4,6,1,9,3,3,17,0,5,B7C3C4
100,34,64,4,56,11,7,59,29,72,45,47,49,207,27,46,17,58,7,0,49,39,0,38,31,58,142,3,0,40,45,31,40,9,44,52,51,62,54,18,28,4,2,30,14,26,19,8,35,32,11,7,38,53,29,293,27,1,2,20,38,15,18,33,46,43,19,38,32,207,21,40,14,37,1,32,28,97,57,39,45,50,84,208,21,71,185,35,19,35,4,56,168,20,38,46,13,39,28,8,45,2,120,18,22,49,41,34,16,17,176,68,15,19,226,25,43,54,46,111,43,49,21,23,21,0,75,13,82,43,320,9,49,7,42,68,19,102,1,228,55,147,49,24,38,61,37,49,7,179,243,3,96,65,3,74,6,43,30,20,19,349,49,11,0,150,18,12,58,41,42,20,108,24,43,100,44,24,17,31,13,49,36,37,114,66,42,49,161,29,25,14,91,2,171,53,38,291,50,59,G7F6E4
101,1,2,4,1,0,0,1,0,1,1,0,2,11,0,4,1,3,0,0,1,1,0,0,1,0,8,0,0,1,2,1,1,0,1,2,2,0,0,0,1,0,0,2,0,0,2,0,0,1,1,0,1,2,5,13,0,0,0,2,0,0,1,1,2,3,0,0,0,3,1,0,2,1,0,0,2,5,0,1,0,2,3,3,2,3,5,0,1,0,0,0,4,1,0,0,0,2,1,0,0,0,5,0,0,1,0,2,0,2,7,3,2,0,7,2,4,0,2,3,2,2,0,1,1,0,1,1,1,0,11,0,3,0,0,4,0,6,0,7,0,3,2,2,2,1,2,1,0,5,14,0,3,3,0,0,0,1,2,2,0,17,2,0,0,3,0,0,1,0,3,1,2,0,1,4,4,0,0,1,0,2,0,2,6,4,0,7,7,1,0,0,1,0,1,2,1,12,3,4,D11E3F4
102,11,14,2,17,3,3,15,13,27,13,10,16,55,8,19,6,23,1,0,19,16,0,24,7,24,60,0,0,6,23,16,7,0,15,18,17,22,9,2,12,1,1,6,6,4,13,0,8,11,3,1,12,13,10,74,4,0,0,0,18,2,3,15,12,14,3,16,3,55,7,12,7,17,0,6,4,28,12,11,5,14,27,58,4,15,57,6,9,15,0,15,59,3,8,18,7,12,9,4,10,0,34,2,10,13,13,3,7,3,87,17,0,12,78,9,15,19,8,44,11,10,5,1,8,1,14,2,30,9,82,1,19,1,12,11,6,33,1,78,21,47,8,6,12,19,9,13,0,45,73,0,38,18,4,25,0,7,11,10,2,107,15,4,1,38,5,4,20,20,18,7,47,3,16,43,13,6,0,16,0,12,11,6,35,36,7,10,59,6,3,3,8,0,66,14,10,89,8,19,B7A5C4
103,0,0,0,0,0,2,2,3,1,1,0,0,3,0,0,2,2,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2,0,0,0,1,1,0,3,0,0,2,0,1,0,0,1,3,0,0,0,0,1,5,2,0,0,0,0,1,0,2,2,2,0,0,0,6,2,2,0,1,0,3,0,3,0,0,0,0,2,4,0,1,9,1,1,0,0,2,2,2,3,1,0,1,0,0,1,0,5,0,0,2,0,2,0,1,7,3,2,1,6,0,1,1,2,2,4,2,0,0,0,0,2,0,2,1,9,0,3,0,1,2,2,3,0,6,2,0,1,0,3,1,0,3,0,1,6,0,2,2,0,1,0,1,0,0,1,4,0,0,0,9,0,0,1,0,3,0,2,2,2,0,1,0,0,1,0,0,1,3,2,4,0,2,7,2,1,0,0,0,2,0,0,10,3,1,C11F5E4
104,2,3,7,12,2,0,7,5,8,10,3,11,45,6,5,2,6,2,0,12,23,2,11,10,16,31,0,0,7,13,6,8,0,7,12,14,7,6,2,7,1,0,3,2,7,6,4,6,7,3,4,12,3,10,36,9,0,1,0,5,2,1,9,6,5,1,4,2,31,3,8,0,6,2,13,4,17,11,6,2,10,24,27,6,8,36,6,5,6,0,8,34,0,9,10,6,3,5,0,7,0,20,2,11,11,6,2,1,2,33,10,3,6,52,3,10,7,5,29,5,2,3,1,4,0,10,2,13,16,51,5,11,1,4,11,2,13,0,24,21,28,10,6,8,9,4,5,0,27,30,0,33,18,0,24,0,7,6,2,0,61,7,5,0,36,7,5,14,16,6,4,14,7,5,20,10,2,1,12,0,5,14,6,13,7,5,8,30,6,3,6,7,0,23,9,4,35,12,6,C8H6A4
105,1,1,0,1,2,0,2,0,1,7,0,1,8,1,0,1,3,0,0,4,0,1,0,0,3,11,0,0,0,0,3,3,1,1,3,1,3,2,0,2,1,0,4,0,1,0,0,3,0,0,1,0,2,5,23,1,0,2,0,0,1,3,7,1,2,0,5,0,1,2,1,4,0,0,5,3,4,2,0,0,1,4,5,2,3,4,0,5,0,0,3,11,0,3,1,0,3,1,0,4,0,2,1,0,1,0,3,0,0,14,7,1,0,5,0,1,2,0,6,0,5,2,0,0,0,2,1,11,1,11,0,1,0,4,3,1,3,0,10,3,3,3,1,2,0,1,0,0,6,7,0,5,1,0,0,0,1,1,0,0,10,0,0,0,8,3,1,4,3,2,1,5,0,0,14,1,0,0,3,3,0,3,2,4,3,1,3,5,0,3,5,1,0,1,1,3,11,1,0,D9A3H4
106,2,11,2,10,2,0,8,5,7,5,4,16,16,3,2,9,4,1,0,5,7,1,3,6,12,16,0,0,4,5,4,4,2,1,4,5,5,4,1,4,3,0,6,2,3,2,0,4,6,0,1,2,1,4,24,2,0,0,4,2,3,4,3,4,4,1,0,10,25,3,7,2,4,0,11,4,14,3,4,2,8,7,20,4,9,20,4,2,4,0,5,24,0,10,2,2,3,5,0,4,0,11,1,1,5,6,6,2,2,16,10,1,5,15,3,19,5,2,10,6,6,2,0,3,0,8,1,16,2,34,1,3,0,4,12,4,7,2,22,6,16,3,5,7,1,5,2,0,24,29,0,13,8,0,4,0,8,7,1,0,40,4,1,0,21,1,1,10,3,6,0,16,4,2,9,3,1,0,5,2,3,3,4,18,40,5,8,27,1,3,1,4,0,16,1,7,38,8,8,H12B3A4
