RPS18_2,SOCS1_2,B2M_2,RPS6_2,RPS12_1,GZMB_2,RPL13_1,GBP2_1,IL2_2,RGS16_1,STAT1_1,CXCL9_2,NME1_2,SAMD9L_2,CD8B_2,RPLP2_2,IFNG_1,RGS16_2,CCL4L2_2,PARP9_2,CCL5_2,RPL11_2,CD74_1,HLA-DRA_1,GBP4_2,LTA_2,IL1B_2,TNFRSF18_1,TNF_1,CST7_2,MS4A1_2,IFI6_2,PSAT1_1,RPS2_1,NKG7_2,IL7R_2,IRF4_2,LYZ_1,IL7R_1,TNFRSF4_2,CD3D_1,CXCL9_1,CD69_2,SLFN5_1,IRF4_1,HAPLN3_1,NR4A1_1,CD3D_2,BATF_1,GZMB_1,CD79A_1,CXCL10_1,IFITM2_2,CCL5_1,TBX21_1,RPLP2_1,TYROBP_1,CCL3_1,HLA-DRA_2,CD40_2,RPL5_2,G0S2_2,IL1A_2,TBX21_2,XCL2_1,BATF_2,LDHB_1,UBE2L6_2,TNFRSF9_2,GZMA_1,IL3_2,IL2RA_1,CCL20_1,SYNE2_1,SLC7A5_2,EGR3_2,RPS25_2,LTA_1,PRF1_1,RPL13A_1,EPSTI1_2,TNFSF14_2,IL1B_1,PLAAT4_2,CCL20_2,HLA-DRB1_1,NKG7_1,CXCL11_2,FCER1G_1,IRF1_2,BCL2L14_1,CD69_1,PRF1_2,IFNG_2,GADD45B_2,IFITM2_1,GBP2_2,PSAT1_2,IL2RA_2,RRP9_2,SLC7A5_1,TNF_2,GBP1_1,GINS2_1,IRF1_1,RPS27_1,UBE2L6_1,NR4A3_1,GZMA_2,CD8A_2,IDO1_2,RPS3_2,XCL2_2,TNFRSF18_2,CD40_1,KCNA3_1,NDFIP2_1,RPS25_1,IFI35_2,INHBA_2,IFITM1_1,DTX3L_1,NDFIP2_2,DTX3L_2,RPS12_2,B2M_1,TNFSF9_2,GBP1_2,XCL1_2,TNFRSF9_1,NFKBID_2,GBP4_1,IL2_1,KCNA3_2,RPL13_2,CD79B_2,FCGR3A_2,PYCR1_2,RPS19_2,SAMD9L_1,ODC1_2,CST7_1,MS4A1_1,TNFRSF4_1,FBXO6_1,CTSW_1,NR4A2_2,CHEK1_1,EPSTI1_1,CXCL10_2,IDO1_1,CCL4_1,FCER1G_2,PARP9_1,CD200_2,FCER2_2,HRH2_1,CD8A_1,TNIP3_1,EGR3_1,GNLY_1,MS4A7_1,RRP9_1,ISG15_1,BATF3_2,RPL32_2,STAT1_2,CTSW_2,RPS19_1,TNIP3_2,PUS7_1,NME1_1,CALHM6_1,PARP11_1,HLA-DQA1_2,CCL3_2,G0S2_1,ENPP2_1,NR4A3_2,CD200_1,GADD45B_1,IFITM1_2,NCS1_1,EBI3_1,TRAFD1_2,FBXO6_2,NOLC1_1,GNLY_2,S100A8_2,LGALS3_2,LY6E_1,CCL15_2,HLA-DPB1_2,FCER1A_1,BYSL_2,IFIT3_2,CXCL1_2,IFI44L_2,IL6_1,TMEM88_2,CD8B_1,ZBTB32_1,HLA-DPA1_1,IFI44L_1,TNFSF10_2,CD80_1,S100A9_1,S100A9_2,NOP16_2,HCAR3_2,FTH1_2,P2RY14_1,COTL1_2,BYSL_1,IL21_1,MTHFD1L_1,P2RY14_2,CCL4_2,COTL1_1,CD79A_2,RPL18A_1,HCAR3_1,RPL5_1,RPS2_2,HAPLN3_2,RPL18A_2,ASNS_2,TNFSF14_1,GEM_2,CST3_1,TMEM88_1,EAF2_1,EBI3_2,PUS7_2,FRMD4B_2,HCAR2_2,FAS_2,OSM_2,CCL19_2,LDHB_2,PLAAT4_1,NFKBID_1,CAVIN2_1,CD74_2,SLFN5_2,CCL8_2,IFI6_1,PARP11_2,FTH1_1,RPS27_2,CCL3L3_2,ASNS_1,FCGR1B_1,XAF1_1,IFI35_1,SOCS1_1,PYCR1_1,IL12B_2,TNFAIP6_2,RPL13A_2,CST3_2,BATF3_1,CXCL11_1,RPL32_1,NR4A2_1,CCL3L1_2,LY6E_2,NRGN_1,S100A8_1,ODC1_1,MX1_1,OSM_1,NR4A1_2,INHBA_1,NOLC1_2,FAS_1,FCER2_1,GEM_1,RPS18_1,RPS6_1,TNFSF9_1,HLA-DRB1_2,LGALS3_1,FCGR3A_1,HSD11B1_2,CCL19_1,PPBP_2,IL13_1,LAG3_2,RPS3_1,APOL4_1,IFIT3_1,CCL1_2,CALHM6_2,HLA-DPA1_2,TNFSF10_1,AIF1_1,APOL4_2,SYNE2_2,ENPP2_2,IL12B_1,KLRB1_2,TYROBP_2,LYZ_2,HIC1_2,ANKRD22_2,NRGN_2,CCL1_1,ITGB8_1,CD80_2,IL3_1,ANKRD22_1,LST1_1,KLRB1_1,IL6_2,EDN1_2,FCN1_1,HLA-DQA1_1,NCS1_2,HSD11B1_1,GP1BA_2,IL1A_1,LST1_2,CXCL1_1,ACOD1_1,FRMD4B_1,TNFAIP6_1,MS4A7_2,CHEK1_2,CCL8_1,CD79B_1,EDN1_1,BCL2L14_2,HRH2_2,XCL1_1,CD14_1,HCAR2_1,FCGR1B_2,HLA-DPB1_1,XAF1_2,LAG3_1,MTHFD1L_2,NPW_1,CCL3L3_1,ZBTB32_2,STEAP4_2,EAF2_2,FCN1_2,TRAFD1_1,NDP_1,CD14_2,SYNPO2_2,NOP16_1,CCL3L1_1,IDO2_1,ITGB8_2,PPBP_1,CCL23_2,CCL15_1,PTX3_2,ACOD1_2,PF4_1,FCER1A_2,CH25H_2,MX1_2,HIC1_1,SYNPO2_1,AIF1_2,CAVIN2_2,IL31RA_1,NDP_2,PTX3_1,CH25H_1,IDO2_2,IL31RA_2,DNAAF1_1,RPL11_1,GP1BA_1,CCL4L2_1,IL13_2,IL21_2,PF4_2,GNG11_2,GNG11_1,GINS2_2,LAMP5_2,cell
2805,161,6163,2968,2180,1230,2220,60,324,255,474,96,215,10,19,51,823,143,1718,76,195,1267,2224,760,67,2388,122,139,965,76,92,110,85,534,248,55,676,1023,101,364,283,158,212,9,253,65,40,254,277,875,42,316,37,158,214,462,197,394,438,237,283,197,9,96,408,270,590,74,176,38,1,418,232,17,400,21,16,1365,42,48,6,205,143,7,152,168,128,2,198,73,9,11,56,451,50,144,87,113,549,74,183,753,37,79,242,12,80,141,27,101,187,45,267,131,140,40,108,70,50,25,76,49,87,77,56,52,8,195,141,89,102,37,270,34,34,14,11,102,56,10,367,53,12,324,21,23,3,58,1,160,131,65,165,43,38,52,18,145,42,0,2,2,90,44,81,31,22,21,70,61,22,1,36,4,7,20,183,0,144,47,55,4,18,49,30,25,113,3,44,100,15,8,6,0,101,12,60,1,8,5,1,67,9,0,2,32,85,85,146,53,39,0,2,56,11,62,1,8,4,1,49,11,56,41,11,24,30,47,5,15,5,16,34,41,29,59,6,81,1,4,1,23,0,3,3,1,95,4,18,14,29,7,12,15,36,28,64,0,3,25,13,4,1,44,7,26,5,4,64,2,0,59,5,127,1,5,0,0,27,63,3,19,1,0,42,0,16,6,12,10,6,9,44,43,2,8,17,1,2,4,0,0,4,11,3,10,6,55,3,39,1,35,4,0,0,1,3,3,8,22,2,1,3,45,0,0,7,0,8,0,0,2,10,6,8,0,35,3,7,2,46,5,0,1,6,2,2,0,0,2,1,0,7,1,0,1,3,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H10E4H9
358,27,450,332,290,451,363,4,16,10,22,0,26,0,6,13,18,1,53,4,8,151,35,0,0,156,0,2,75,1,0,0,11,80,15,5,47,1,4,38,34,0,45,0,20,4,11,44,22,369,0,0,2,1,11,84,0,18,0,1,40,1,0,7,222,13,74,2,29,0,0,58,43,3,91,3,4,107,0,10,0,28,0,0,20,0,8,0,0,2,0,3,0,7,0,20,6,3,26,11,52,75,0,17,14,1,5,26,2,17,0,7,118,2,1,3,26,9,2,0,9,4,27,3,12,6,2,2,62,7,23,0,22,6,4,1,0,4,9,0,52,1,0,30,0,0,0,4,0,1,0,6,0,2,15,0,1,10,12,1,0,0,8,1,4,1,0,1,23,2,5,0,0,1,0,6,0,0,30,17,3,2,9,0,2,0,17,1,0,0,2,0,0,0,8,0,0,0,0,5,0,8,0,0,0,0,0,0,21,0,0,0,1,1,2,8,0,1,0,0,3,0,15,9,4,1,5,4,5,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,3,2,3,2,0,0,3,5,3,3,0,0,2,0,1,0,6,7,2,1,1,0,0,0,3,2,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,6,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C12C7D8
257,9,408,286,222,92,253,7,167,14,29,14,18,0,1,9,77,9,107,4,6,150,205,59,3,266,0,15,67,3,16,2,4,88,11,4,54,0,2,31,23,9,10,1,24,7,2,8,48,61,8,15,9,8,20,51,0,9,29,32,27,1,2,3,7,32,49,7,10,0,0,36,11,0,36,1,0,147,4,5,0,17,0,0,6,15,6,2,1,16,1,0,10,48,10,12,5,6,57,4,13,39,1,5,26,0,11,4,0,8,2,5,3,9,25,4,16,6,6,0,9,7,2,7,4,6,0,16,1,10,12,3,161,1,1,1,0,4,3,0,27,4,1,29,3,0,0,6,0,3,1,0,0,4,1,6,1,6,0,0,0,0,15,3,13,3,0,3,14,2,5,0,0,0,0,1,2,0,6,3,11,1,0,4,2,1,24,0,0,3,2,1,0,0,9,0,0,0,20,7,0,3,0,0,0,4,0,0,16,0,2,0,0,4,1,5,0,0,0,0,5,0,2,12,2,8,2,4,0,0,1,2,5,3,2,0,0,27,0,0,0,6,0,0,0,0,4,3,0,1,0,0,0,0,3,1,2,0,0,7,0,1,4,7,1,1,2,0,0,0,0,9,2,0,0,2,0,0,11,8,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,1,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H10B3D9
169,11,375,164,110,134,99,4,0,7,11,15,22,1,1,6,125,5,48,8,17,69,104,29,4,162,0,3,65,4,5,0,6,56,16,0,32,0,2,13,12,25,18,0,23,5,23,4,18,120,7,65,3,11,11,25,0,5,32,13,11,0,0,9,2,24,28,9,14,0,41,26,0,0,23,3,1,84,5,3,0,3,0,0,0,6,8,3,0,15,0,1,4,123,12,10,6,6,36,0,9,41,1,7,20,0,5,43,1,11,0,1,0,4,10,5,4,3,4,0,5,2,2,10,6,4,0,10,0,6,7,4,0,4,2,0,1,9,3,0,23,7,1,12,8,0,3,3,1,51,0,5,0,6,0,4,4,7,6,0,0,0,1,2,4,2,0,3,6,8,0,0,0,0,0,0,0,0,20,0,4,4,0,2,3,1,10,0,0,0,0,0,1,0,7,0,0,0,0,0,0,5,0,1,0,3,0,0,11,0,0,0,0,1,4,2,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,3,3,0,9,0,2,5,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,0,0,3,0,0,1,0,0,0,5,2,0,2,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G10B8F8
134,4,199,130,109,121,91,4,42,0,20,48,18,0,3,3,346,0,59,3,5,41,90,50,7,57,0,0,14,1,9,1,3,28,2,0,12,0,3,2,13,95,9,0,3,13,1,7,18,81,6,128,2,1,19,42,0,26,14,6,10,0,0,9,34,14,36,5,3,0,0,9,0,0,12,0,1,54,0,4,0,7,0,0,0,7,2,0,0,5,0,0,3,291,3,11,3,4,11,5,10,18,0,4,10,0,10,2,0,7,0,1,19,1,8,5,1,4,2,0,5,1,7,7,1,1,0,9,14,0,2,0,32,1,0,0,0,3,0,0,15,5,1,5,0,1,0,3,0,93,0,2,0,0,1,0,2,4,0,0,0,0,3,4,2,7,0,0,2,1,2,0,1,0,1,0,0,0,1,4,1,1,1,2,2,0,12,0,0,0,0,0,0,0,8,0,0,0,13,1,0,3,0,1,0,5,0,0,8,0,0,0,0,2,0,4,0,1,3,0,0,0,2,5,0,0,3,3,0,0,0,2,2,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,1,1,5,0,0,0,0,0,0,4,0,7,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D12D12C11
124,6,230,137,75,29,101,2,11,4,28,17,5,0,0,3,0,0,80,3,12,44,140,36,1,93,100,16,38,4,1,2,0,38,4,10,34,7,17,41,4,15,3,0,7,3,0,5,12,18,2,1,1,7,8,35,2,21,31,18,14,1,40,3,0,19,20,1,4,0,0,20,8,2,10,4,0,46,2,4,0,1,132,0,5,4,3,0,2,2,0,1,2,0,2,4,2,0,23,2,4,42,0,0,9,1,1,1,0,1,27,2,0,12,6,5,1,1,4,3,1,4,2,3,0,2,1,8,1,1,3,2,8,2,1,0,0,3,3,1,0,5,0,29,0,1,0,1,0,0,14,0,2,3,0,7,0,4,0,0,0,0,4,2,10,1,2,0,3,1,2,0,0,0,0,0,0,0,0,0,8,0,0,7,0,2,4,0,0,1,0,0,0,0,3,0,0,0,0,1,0,5,0,0,1,7,0,0,9,1,4,0,0,1,0,0,0,0,0,0,1,0,4,2,1,0,0,0,0,0,1,0,7,0,0,3,1,31,1,0,0,2,0,0,0,0,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,15,0,16,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,5,0,0,2,0,0,0,0,1,0,1,0,26,1,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H10E4D7
125,13,234,163,118,144,118,4,43,1,11,0,12,0,7,5,128,3,18,0,13,69,33,1,1,80,0,7,49,5,1,0,0,32,11,0,9,0,5,26,20,0,12,0,3,4,3,18,9,84,3,2,3,5,3,33,0,8,2,5,9,5,0,2,0,21,36,1,4,0,0,38,0,0,30,3,0,35,0,4,0,1,0,0,0,0,7,0,0,3,0,2,1,87,1,6,1,0,57,5,8,27,0,2,13,2,2,13,1,22,0,1,0,2,0,3,14,4,0,0,6,1,4,2,2,1,0,0,0,0,0,0,40,1,0,0,0,6,3,0,21,3,0,14,0,2,0,3,0,2,0,0,0,4,1,0,3,26,10,0,0,0,6,4,4,1,1,0,7,21,0,1,0,0,1,3,5,0,6,1,3,0,3,1,0,1,9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,4,0,0,0,0,3,0,2,4,0,2,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,2,5,7,0,0,2,0,0,1,0,2,0,0,0,0,0,0,1,3,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E10E9H7
137,5,183,107,97,113,84,0,1,3,8,24,10,0,2,6,0,2,0,1,0,71,167,59,0,66,0,5,9,0,14,0,0,37,4,0,18,0,0,3,2,37,10,0,8,4,0,3,27,90,13,33,3,0,10,28,0,0,40,22,11,57,0,4,130,11,38,5,7,0,0,9,0,0,10,1,1,39,0,1,0,1,0,0,0,23,2,0,0,6,0,1,0,0,5,11,2,1,18,6,8,15,0,1,10,0,2,0,0,5,0,1,68,5,17,3,0,5,4,0,9,3,1,6,1,0,0,2,46,1,2,1,0,2,0,2,0,9,2,1,15,0,1,1,4,0,0,9,0,33,0,0,0,5,2,1,0,4,0,0,0,0,4,1,9,2,1,0,5,0,0,0,0,0,3,0,69,0,3,3,1,2,0,2,2,4,8,0,0,1,0,0,0,0,7,0,0,0,4,0,0,3,0,0,0,6,0,0,6,0,0,0,0,6,0,4,0,0,0,0,4,0,2,3,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B9B9A7
96,3,128,72,85,7,108,0,187,6,11,0,5,0,1,4,39,5,116,1,0,45,12,1,0,145,0,7,98,1,0,0,7,12,0,1,20,0,2,10,8,0,13,0,10,1,4,11,7,3,0,0,1,1,7,14,0,23,0,0,7,3,0,3,0,11,22,3,0,0,32,21,0,1,23,1,0,68,0,1,0,11,0,0,0,0,1,0,0,3,0,2,0,54,2,3,1,3,26,1,13,67,0,2,7,0,2,10,0,2,0,2,0,10,1,1,3,1,0,0,7,1,3,1,2,0,1,3,0,1,5,1,178,0,2,0,0,7,2,0,9,1,0,11,0,0,0,1,0,0,0,0,0,0,3,0,2,0,3,0,0,0,2,0,1,2,0,0,3,1,3,0,0,0,0,0,10,0,15,5,4,1,1,0,1,0,9,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,2,1,0,0,0,1,0,4,3,0,2,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,3,0,2,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A9A1A6
141,5,171,131,100,187,86,2,0,2,9,0,9,0,1,4,56,0,54,0,2,67,23,0,0,118,0,0,17,0,0,5,2,25,12,0,19,0,2,2,12,0,10,0,10,2,0,7,14,137,0,0,4,3,4,31,0,19,0,0,16,0,0,1,44,6,27,2,1,0,0,19,1,0,19,1,0,42,0,6,0,5,0,0,0,0,12,0,0,1,0,0,0,44,4,6,1,5,29,3,10,13,0,6,4,0,0,7,0,9,0,3,34,1,0,4,13,4,1,0,3,0,4,0,4,1,0,1,17,0,0,0,0,0,0,0,0,2,5,0,20,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,9,0,1,0,0,1,3,6,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,4,0,3,0,0,0,0,5,0,4,4,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,1,0,0,2,0,3,0,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F11E10D10
