AURKA_1,TMPO_2,PRIM1_1,BRIP1_4,RAD51AP1_3,MCM6_1,USP1_1,PIMREG_4,KIF2C_2,TTK_3,POLD3_3,DLGAP5_3,SMC4_4,BUB1_4,ATAD2_3,CDC25C_1,CCNB2_2,HJURP_1,CLSPN_1,TPX2_4,UNG_1,RANGAP1_2,ANLN_1,CDC45_4,TYMS_2,TOP2A_3,G2E3_2,KIF23_4,GTSE1_2,FEN1_2,RPA2_1,E2F8_2,RAD51_3,USP1_4,TMPO_3,DTL_2,FEN1_4,CCNB2_4,HELLS_2,CCNE2_1,E2F8_4,NUF2_2,CENPE_1,CLSPN_2,NASP_4,MKI67_2,POLD3_1,GINS2_2,UBR7_3,MKI67_4,CDC45_1,ANLN_3,NUSAP1_2,ANLN_4,CKS1B_1,BRIP1_3,HMMR_1,BIRC5_3,UNG_3,TIPIN_4,NEK2_4,CENPA_1,NUF2_4,FEN1_3,TTK_2,UNG_4,NEK2_3,CKAP5_1,TTK_1,CHAF1B_1,CENPU_1,SMC4_2,CTCF_4,CDK1_2,ANP32E_2,ECT2_2,RPA2_3,ECT2_3,GAS2L3_1,TPX2_2,E2F8_1,TUBB4B_3,ECT2_1,NEK2_2,RFC2_2,PCNA_2,RAD51AP1_4,TIPIN_3,TOP2A_2,TUBB4B_2,GINS2_4,RANGAP1_3,KIF20B_3,RPA2_2,KIF20B_2,NCAPD2_4,NEK2_1,CENPU_2,UHRF1_2,DTL_4,G2E3_4,RRM2_2,TYMS_3,UBR7_4,TACC3_2,CDCA8_2,UNG_2,CDC6_1,LBR_3,HJURP_3,HMGB2_2,CKAP2_2,POLA1_4,HJURP_4,TIPIN_2,RANGAP1_1,CKAP2L_3,SMC4_3,SLBP_2,ATAD2_1,DTL_3,CASP8AP2_3,KIF23_2,AURKA_4,CKS2_3,CDC25C_2,KIF23_1,GTSE1_3,GTSE1_1,CENPF_2,RRM1_2,CDC45_2,CTCF_1,USP1_2,CKS1B_3,UBR7_1,MCM2_2,CCNE2_2,RRM1_3,MCM5_1,CKAP2_1,CKAP5_3,BLM_4,RAD51_1,CCNB2_3,CHAF1B_2,ATAD2_2,BUB1_2,NDC80_1,PIMREG_1,CKS1B_2,POLD3_4,ECT2_4,CDC20_3,CENPF_4,NCAPD2_3,CDCA7_1,PSRC1_1,NDC80_3,CBX5_2,G2E3_1,ATAD2_4,CDCA7_3,RAD51AP1_2,GMNN_4,HMGB2_1,CLSPN_3,RAD51_2,PCNA_4,MCM4_3,ANP32E_3,CKAP2_3,UHRF1_4,SLBP_4,TPX2_1,TMPO_1,EXO1_2,CHAF1B_4,NUSAP1_4,NASP_3,RPA2_4,CENPA_3,AURKB_1,RFC2_4,TYMS_1,RFC2_3,CKS2_2,DTL_1,CKAP5_4,CDC20_1,PSRC1_4,GINS2_1,KIF23_3,CENPE_3,GAS2L3_4,KIF2C_4,CTCF_3,AURKB_2,NUSAP1_3,GAS2L3_3,NCAPD2_2,UHRF1_1,ANLN_2,DSCC1_1,DSCC1_2,CENPA_2,HJURP_2,NUSAP1_1,PCNA_3,KIF20B_4,HMGB2_3,MCM6_2,FEN1_1,TOP2A_4,KIF11_2,CENPF_3,GTSE1_4,MCM4_1,NUF2_3,SLBP_3,G2E3_3,CASP8AP2_1,CDCA3_1,CDCA2_1,BLM_1,RANGAP1_4,MKI67_3,CKS2_1,CKAP2_4,AURKB_3,CENPF_1,GMNN_1,NUF2_1,KIF11_3,TPX2_3,MCM5_4,RRM2_3,LBR_4,WDR76_2,MCM5_3,POLA1_3,CKAP2L_4,CKAP5_2,MCM2_4,PSRC1_2,DLGAP5_1,BRIP1_1,CDC25C_3,KIF11_4,CENPU_3,NCAPD2_1,CENPA_4,CDCA2_4,CDCA2_3,MSH2_4,CDCA8_4,PSRC1_3,GMNN_3,TACC3_1,PCNA_1,TACC3_4,MCM2_3,MCM6_4,CBX5_4,RAD51_4,BUB1_3,AURKA_3,TUBB4B_1,RFC2_1,CDCA2_2,RRM1_4,PRIM1_4,SMC4_1,HELLS_1,UHRF1_3,DLGAP5_4,BLM_3,MCM6_3,HELLS_3,CCNB2_1,TACC3_3,EXO1_3,KIF2C_3,TYMS_4,CHAF1B_3,SLBP_1,RAD51AP1_1,KIF20B_1,AURKB_4,CDC6_4,WDR76_1,HMMR_4,LBR_1,POLA1_1,CDCA8_1,PRIM1_3,RRM2_1,BIRC5_1,CDK1_3,E2F8_3,CKAP2L_2,CDC25C_4,NASP_1,ANP32E_1,AURKA_2,CASP8AP2_2,CENPU_4,MKI67_1,CDC6_2,KIF2C_1,CDC6_3,CBX5_3,MCM5_2,HMGB2_4,POLD3_2,BUB1_1,EXO1_4,CKAP2L_1,RRM1_1,BIRC5_2,GINS2_3,CDK1_1,MCM2_1,TTK_4,DLGAP5_2,CASP8AP2_4,HELLS_4,EXO1_1,MSH2_2,HMMR_2,RRM2_4,MSH2_3,POLA1_2,CKS1B_4,ANP32E_4,MSH2_1,MCM4_2,TOP2A_1,BLM_2,CLSPN_4,LBR_2,NASP_2,WDR76_3,WDR76_4,CBX5_1,TMPO_4,TUBB4B_4,CENPE_4,TIPIN_1,CTCF_2,BRIP1_2,GMNN_2,CDCA7_2,PIMREG_3,PIMREG_2,HMMR_3,NDC80_2,NDC80_4,CDCA7_4,CDC45_3,KIF11_1,USP1_3,GAS2L3_2,CDC20_2,CDC20_4,CDK1_4,PRIM1_2,CENPE_2,UBR7_2,BIRC5_4,cell
0,1,1,0,0,1,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,1,0,0,0,5,0,0,0,14,4,0,0,6,0,0,0,1,1,0,0,0,4,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,4,2,1,0,1,0,2,4,0,1,0,0,2,0,0,0,1,2,4,0,0,3,5,0,0,0,1,0,0,2,0,3,0,0,4,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,9,0,0,0,1,0,2,0,0,0,0,1,1,5,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,3,2,0,4,1,0,0,1,0,31,0,1,0,2,0,0,0,0,2,8,1,0,0,0,0,0,0,1,0,0,4,4,0,1,0,3,5,0,0,0,0,4,0,0,1,3,1,4,0,0,0,0,0,4,2,3,4,1,1,0,2,2,0,0,1,2,0,0,0,0,0,1,1,0,0,6,0,0,0,0,1,2,0,0,0,0,2,3,0,0,2,0,0,1,6,0,0,0,0,0,0,0,4,8,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,1,0,1,2,1,0,0,0,1,4,2,1,2,0,0,3,1,0,1,3,0,1,0,0,0,1,1,0,1,3,0,0,0,0,1,0,1,0,1,0,0,0,1,4,4,0,0,2,4,0,0,6,0,0,0,0,0,8,3,3,0,1,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,H9B5B4
3,21,8,0,0,14,16,0,6,1,0,0,0,1,1,2,16,1,2,0,6,14,6,0,12,0,4,14,3,2,9,4,1,0,25,6,0,0,6,2,0,4,1,1,0,9,0,10,0,0,4,0,4,0,11,0,4,0,0,0,0,9,0,0,17,0,0,18,14,4,0,9,0,12,17,0,1,0,1,11,0,0,12,8,13,18,0,0,9,19,0,1,0,8,2,0,9,0,2,0,0,18,0,0,6,3,1,2,1,0,51,32,1,0,10,3,2,0,18,4,0,2,2,0,17,4,4,1,0,10,19,4,12,10,0,4,19,2,0,16,8,0,0,2,0,2,0,4,19,1,17,0,2,1,0,0,21,4,0,8,5,0,0,4,0,83,0,18,0,14,3,0,0,0,13,66,10,0,0,0,0,1,18,0,2,0,17,9,0,12,0,0,3,0,0,0,3,33,2,6,21,3,11,2,1,1,4,5,0,0,0,11,8,0,8,1,7,15,0,1,0,2,2,10,0,0,0,10,2,0,17,2,7,0,0,0,3,0,5,0,5,5,21,0,4,4,2,1,0,2,31,0,1,5,0,0,0,0,15,46,0,0,0,0,1,0,0,17,4,1,0,0,7,15,1,0,0,0,0,9,2,0,0,0,0,2,7,4,0,0,0,0,32,5,3,0,14,3,3,0,0,0,17,19,14,5,0,0,3,0,0,0,6,5,2,2,0,1,12,4,0,9,23,0,6,1,0,7,2,25,5,0,12,0,0,8,19,15,2,0,21,35,3,0,15,0,3,0,7,3,1,13,7,0,7,0,0,1,0,0,5,0,5,3,0,1,0,4,2,0,B11F1B4
0,14,7,0,0,11,10,0,6,0,0,1,0,0,0,6,5,4,1,0,8,10,9,0,13,0,1,4,2,1,8,2,2,0,21,5,2,0,14,0,0,5,1,1,0,11,1,0,0,0,1,1,3,0,3,4,5,0,0,2,1,4,1,0,4,0,2,11,9,11,0,5,0,6,21,6,0,0,0,14,0,0,16,10,8,10,0,0,14,27,0,2,0,1,1,1,4,6,24,0,0,28,1,0,7,3,3,2,0,0,27,7,2,2,8,4,0,0,13,0,0,0,2,0,11,0,0,1,1,7,6,3,3,7,0,1,9,0,1,10,3,0,0,1,0,4,4,8,5,4,4,0,0,1,2,0,11,3,0,12,1,0,0,2,0,45,1,15,0,4,5,1,0,0,11,26,23,1,0,0,0,0,7,0,2,0,11,6,0,4,1,1,60,0,0,0,2,17,0,3,7,11,3,2,7,6,1,5,1,0,0,11,5,0,3,1,1,4,0,2,0,0,1,2,0,0,0,2,3,0,6,2,0,0,0,0,1,0,0,0,0,0,11,1,1,4,3,1,0,2,9,0,1,4,0,0,0,0,1,19,0,1,0,0,0,0,0,18,5,0,1,0,6,8,0,0,0,0,0,2,1,0,0,0,6,0,1,3,0,1,2,0,7,1,1,0,10,0,1,0,1,0,10,9,7,0,0,6,2,2,0,1,6,0,2,1,0,1,5,3,0,8,15,0,3,0,0,6,10,7,0,0,6,0,3,6,12,20,1,0,14,26,0,0,4,0,1,0,5,1,3,7,9,0,4,1,3,1,0,0,5,0,0,4,0,1,2,9,3,0,D10D1C4
0,3,1,0,0,1,3,0,1,1,0,0,2,0,0,0,1,0,0,0,3,2,0,0,2,0,0,1,0,0,0,1,0,0,10,0,0,0,3,0,0,0,0,1,0,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,0,2,4,2,2,3,0,3,1,0,0,0,6,4,0,0,4,2,0,0,0,5,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,7,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,1,0,2,3,0,0,0,0,0,2,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,2,2,1,4,2,0,0,1,0,24,0,2,0,1,3,0,0,0,2,15,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,5,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,2,3,1,1,1,1,6,0,1,1,0,1,0,0,1,1,0,0,0,2,1,0,3,1,1,0,0,0,1,0,1,0,0,0,3,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,6,0,0,1,0,2,0,0,0,0,1,3,1,0,0,0,1,1,1,5,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,2,5,1,0,3,0,0,0,0,0,5,0,3,0,1,0,1,0,0,0,0,0,2,2,0,0,0,3,0,0,D11B6F4
0,4,1,0,0,9,9,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,1,0,2,2,1,1,0,2,7,1,1,0,8,5,0,0,5,0,0,0,0,0,0,2,0,3,0,0,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,12,0,2,0,0,1,1,0,0,3,0,0,0,0,0,0,0,3,0,2,10,0,0,2,2,0,0,0,1,0,0,1,0,5,0,0,4,0,0,0,0,1,0,0,0,3,1,0,0,5,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,7,2,1,3,0,2,4,1,0,8,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,4,1,0,0,3,0,14,0,5,0,1,0,0,0,0,2,34,5,0,0,1,0,1,0,0,0,0,3,6,0,3,0,0,8,0,0,0,0,0,0,1,1,3,0,0,2,0,0,2,0,0,0,2,0,0,2,0,1,3,0,0,0,1,1,0,0,0,0,1,0,0,1,6,2,0,0,0,0,0,1,0,0,0,2,0,1,6,5,0,0,1,7,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,1,0,4,0,0,0,0,0,8,4,1,3,0,0,1,0,0,0,6,0,0,0,1,0,2,1,0,2,6,0,0,6,0,2,1,1,0,0,1,0,0,4,8,2,0,0,4,7,0,0,5,0,3,0,0,1,0,6,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,D7E5G4
7,21,2,0,0,14,22,0,8,4,0,0,0,5,0,3,8,2,4,0,11,23,7,1,15,0,1,8,3,12,12,3,1,2,29,11,1,0,18,0,0,5,0,2,0,21,2,9,1,0,7,1,4,0,14,0,5,0,1,0,0,8,0,0,9,0,2,14,4,1,2,13,1,14,37,2,1,0,0,23,0,0,15,8,15,25,0,1,31,16,0,0,0,15,8,0,6,1,9,0,0,15,0,0,3,2,6,4,0,1,59,6,0,0,16,12,4,0,12,2,0,6,2,0,22,0,1,1,0,5,11,0,7,12,0,4,9,0,0,10,10,0,0,0,1,1,0,8,2,4,36,0,2,0,0,3,13,2,0,15,0,0,0,7,1,121,0,9,1,12,18,0,0,0,19,59,6,0,0,0,1,0,10,0,0,1,38,11,5,15,1,5,4,0,1,0,0,9,0,4,15,12,6,7,6,1,0,5,1,0,0,7,13,0,11,6,1,10,0,1,2,3,2,0,0,0,1,11,1,0,13,14,10,0,0,2,1,2,3,0,2,0,10,0,1,8,2,0,0,6,24,0,2,0,0,0,1,0,10,39,0,0,0,5,0,0,1,27,5,3,1,0,6,13,0,0,0,0,0,1,3,0,2,0,0,1,3,5,0,2,3,0,36,19,11,0,9,1,1,1,0,0,21,17,8,3,0,5,4,1,2,0,10,4,1,5,0,0,7,9,0,1,33,0,12,2,0,8,6,7,0,0,9,0,0,6,8,23,0,0,46,61,1,0,14,0,0,0,1,4,1,21,15,0,7,4,0,0,0,0,13,0,3,22,2,4,3,6,6,0,B9B6A4
1,12,1,0,0,9,8,0,1,1,0,0,0,0,0,4,9,3,1,0,2,8,6,0,11,0,2,1,1,9,2,1,1,0,5,7,0,0,14,0,0,2,0,1,0,3,1,4,0,0,0,0,4,0,5,0,6,0,0,0,0,2,0,0,3,4,0,9,3,2,0,2,0,10,16,0,0,0,1,7,0,0,3,4,7,12,0,0,31,9,0,0,0,4,4,0,6,1,4,0,0,12,0,0,4,5,2,3,0,0,14,6,1,1,3,9,0,1,1,2,0,1,2,0,7,1,1,0,0,5,6,4,0,2,0,0,6,0,0,2,3,0,0,0,0,0,0,5,2,2,17,2,0,0,0,0,4,2,0,1,2,0,0,2,0,61,0,0,0,6,1,0,0,0,6,27,5,0,0,0,0,0,6,0,0,0,7,7,0,8,1,0,1,0,0,0,1,15,0,2,6,8,9,4,0,3,3,9,0,0,0,6,11,1,8,0,1,9,0,0,0,2,2,0,0,0,0,1,0,0,7,10,6,0,0,1,0,0,1,0,0,0,8,0,2,2,0,0,0,2,8,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,32,2,0,0,0,1,4,0,0,0,0,0,5,2,0,0,0,0,1,1,5,0,0,0,0,23,9,0,0,3,0,0,0,0,0,17,12,4,1,0,1,2,3,0,1,3,0,3,6,0,0,5,5,0,1,13,0,4,0,0,4,4,7,0,0,3,0,0,3,10,9,0,0,17,18,0,0,9,0,0,0,5,2,4,9,4,0,3,2,4,0,0,0,7,0,3,2,1,0,1,2,2,0,D7H3A4
10,66,17,0,0,44,49,0,8,2,0,5,0,0,0,7,12,8,3,0,9,35,30,0,45,3,10,2,10,26,27,8,7,0,36,9,1,0,44,1,0,16,2,3,0,37,9,28,0,1,10,0,21,0,52,1,5,0,0,0,1,11,0,0,4,2,0,28,20,7,0,25,0,40,78,1,4,0,1,39,1,0,20,20,29,56,2,1,53,57,0,0,0,33,4,0,22,1,29,0,0,78,1,2,13,7,16,7,0,2,95,25,0,1,28,25,0,1,27,19,0,2,3,1,49,4,14,0,1,29,49,14,19,31,0,7,42,4,0,31,26,0,0,1,0,5,8,9,8,5,52,1,1,0,0,1,23,14,0,23,9,1,0,10,1,242,1,28,1,40,3,0,0,2,45,133,27,0,0,0,0,0,58,0,1,1,75,27,0,23,1,3,7,0,0,1,4,50,2,6,40,35,18,13,9,8,12,14,0,0,0,46,24,2,26,1,7,44,0,1,0,7,3,7,0,0,0,21,0,0,33,24,15,0,0,2,17,2,19,0,3,0,33,0,1,14,6,0,0,7,52,0,2,0,0,0,1,0,31,124,0,0,1,0,2,2,0,69,16,1,0,1,10,35,0,0,0,0,0,10,1,1,0,0,0,4,9,35,1,1,6,0,71,22,11,0,71,3,4,0,4,0,62,51,32,10,0,10,8,2,0,4,35,2,3,10,0,2,16,25,0,26,37,0,20,0,0,31,19,6,0,1,24,0,0,20,61,57,0,0,72,106,1,0,38,0,2,0,8,12,6,38,25,0,6,1,12,1,0,1,27,0,3,26,1,3,11,17,7,0,B7A5C4
1,10,6,0,0,7,17,0,4,1,0,0,0,0,0,1,1,0,0,0,12,1,2,1,9,0,0,0,0,2,11,1,0,0,16,7,0,0,5,3,0,2,1,1,0,10,1,5,0,0,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,13,0,5,28,0,2,0,0,4,2,0,7,3,7,9,0,0,5,10,0,0,0,7,1,0,4,0,3,0,0,12,0,0,5,0,8,0,0,0,13,9,1,1,5,0,0,0,17,1,0,0,1,0,9,0,0,0,0,2,20,7,4,5,1,4,19,1,0,15,3,0,0,0,0,3,0,1,3,0,7,1,1,1,0,0,1,1,0,11,1,0,0,2,0,55,0,10,0,19,3,1,0,0,6,35,11,0,0,0,0,0,7,0,2,0,5,9,0,1,0,1,3,0,0,0,2,4,0,1,8,9,1,4,8,2,2,0,0,0,0,14,7,0,3,0,1,4,0,1,0,2,4,1,0,0,0,6,0,0,3,11,6,0,0,0,2,0,5,0,0,0,4,0,0,1,2,1,0,1,10,0,1,0,0,0,1,0,2,41,0,0,0,0,0,0,0,16,3,1,2,0,1,9,0,0,0,0,0,5,1,0,0,0,0,3,4,1,0,3,2,0,19,3,0,0,7,0,1,0,1,0,11,14,2,5,0,5,4,0,0,0,13,0,2,0,0,1,8,2,0,3,21,0,3,0,0,4,3,0,0,0,5,0,0,2,18,5,0,0,18,20,0,0,9,0,2,0,8,0,4,13,8,0,0,0,0,1,0,0,4,0,2,4,0,2,1,0,0,0,B12E1E4
0,2,0,0,0,2,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,3,3,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,5,5,0,0,0,0,1,0,2,0,1,0,0,3,0,0,1,0,2,1,0,0,3,1,0,0,1,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,2,0,0,0,0,0,9,0,1,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,2,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,1,0,0,0,2,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,3,2,1,0,0,0,0,0,4,2,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,3,3,2,0,0,3,3,0,0,2,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,3,0,0,3,0,0,0,2,0,0,G12A4A4
15,35,11,0,0,36,65,0,13,1,0,5,0,4,0,2,16,3,5,0,20,43,26,0,34,1,9,9,12,23,31,7,13,0,42,13,0,0,19,0,0,12,2,2,0,53,9,18,0,0,4,5,14,0,29,0,5,0,0,0,0,29,0,0,13,1,2,34,23,6,0,32,0,29,58,3,6,1,2,36,4,2,24,22,22,40,1,1,58,60,1,0,0,30,12,0,16,0,36,0,0,70,0,3,10,11,20,3,0,1,104,30,2,1,19,38,3,1,35,12,0,3,6,1,77,3,7,2,0,21,42,7,17,24,0,6,45,4,0,27,29,0,0,1,0,2,7,15,9,4,55,1,4,1,0,0,28,12,1,19,9,6,0,13,1,258,4,13,0,23,10,1,1,0,47,126,26,0,0,0,0,0,37,1,5,0,89,28,0,22,3,3,7,0,0,0,12,33,0,7,23,32,24,7,7,15,8,18,0,1,1,36,21,6,21,1,19,26,0,0,0,17,3,9,0,2,1,27,5,0,26,28,17,0,2,0,28,1,5,0,2,0,25,1,4,23,11,2,0,3,45,1,1,4,0,1,1,1,29,125,2,2,0,0,1,1,1,78,17,3,0,1,13,26,0,0,0,0,0,5,3,0,1,0,0,4,19,9,0,1,4,0,58,29,22,0,54,8,1,0,4,0,42,31,35,15,0,3,18,3,0,11,38,1,12,6,0,1,25,16,0,16,48,0,22,0,2,11,15,20,0,2,12,5,0,23,38,51,1,0,62,102,3,0,36,2,2,0,7,12,14,46,25,0,2,2,17,1,2,1,27,0,8,42,3,2,4,18,9,2,F12B2C4
2,13,4,0,0,1,24,0,2,0,0,8,0,0,0,1,9,3,3,0,6,26,4,0,6,0,10,1,1,16,9,4,1,0,15,11,0,0,13,0,0,6,0,1,0,1,0,1,0,0,9,0,13,0,17,0,0,0,0,0,0,7,0,0,6,0,2,4,6,2,0,11,0,8,17,4,0,1,0,5,1,0,9,5,18,19,0,0,9,11,0,0,0,23,2,0,3,0,3,0,0,4,0,0,8,7,1,0,0,0,52,11,1,1,10,10,1,0,16,2,0,1,1,0,20,0,10,0,0,6,6,7,6,10,0,0,9,2,0,6,2,1,0,0,0,2,3,0,7,3,29,1,0,0,0,1,14,7,0,5,7,0,0,8,0,139,0,7,0,6,12,0,0,0,13,37,14,0,0,0,0,0,22,0,0,0,28,10,0,4,2,1,6,0,0,0,0,18,2,2,7,3,12,4,3,3,8,5,0,0,0,9,20,1,0,0,3,5,0,0,0,0,3,1,0,0,0,8,7,0,4,14,12,1,0,0,10,0,2,0,1,0,6,0,1,1,1,1,0,1,12,0,1,0,0,1,0,0,4,43,0,0,0,0,1,0,0,23,8,1,4,0,2,16,0,0,0,0,0,1,1,1,0,0,0,1,10,2,0,0,2,0,9,1,5,0,3,0,1,0,3,0,7,10,10,7,0,1,11,2,0,4,12,1,4,4,0,0,3,6,0,11,8,0,4,0,0,12,1,1,0,2,1,0,0,7,14,3,0,0,8,17,1,1,20,0,0,0,4,5,4,13,7,0,1,0,5,0,0,0,0,0,4,6,1,1,3,0,1,0,F7E3C4
14,12,1,0,0,4,10,0,4,0,0,1,0,0,0,2,7,0,2,0,0,4,5,0,6,0,7,0,8,0,3,1,0,0,4,1,0,0,12,2,0,4,0,0,0,11,0,0,0,0,2,0,5,0,4,0,3,2,0,0,0,9,0,0,2,0,1,10,6,0,0,6,0,14,19,0,0,1,0,15,0,1,5,8,5,6,0,0,25,18,0,0,0,3,2,0,3,0,5,0,0,3,0,0,4,3,1,1,2,4,46,11,0,0,6,9,0,0,9,1,0,0,0,0,26,2,5,0,0,6,11,0,3,7,0,0,2,0,0,1,8,0,0,1,0,1,1,4,4,1,6,1,0,0,0,0,3,11,0,2,7,0,0,4,0,64,0,6,0,3,11,0,0,0,13,16,1,0,0,0,0,0,23,0,0,0,36,1,0,18,1,1,4,0,0,0,2,20,0,4,12,5,5,2,0,9,0,6,1,2,0,1,4,0,5,0,1,3,0,0,0,1,1,4,0,0,0,18,1,0,14,4,9,0,0,0,0,0,1,0,0,0,10,0,7,13,2,0,0,1,21,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,27,2,0,5,0,1,6,0,0,0,0,0,1,0,0,0,0,3,1,0,1,1,0,0,0,16,2,3,0,4,2,0,0,2,0,5,5,10,2,0,4,0,4,0,3,2,0,0,9,0,1,3,2,0,9,3,0,5,0,0,4,0,4,0,0,3,0,0,3,7,28,0,0,30,11,1,0,6,0,0,0,0,0,2,10,4,0,2,0,3,0,0,0,6,0,5,11,0,0,2,4,2,0,H10E1F4
3,7,4,0,0,8,20,0,13,0,0,0,0,0,0,1,14,2,0,0,1,18,11,1,13,0,6,1,5,3,4,1,0,0,7,1,1,0,5,0,1,11,0,3,0,19,5,0,0,0,0,0,9,0,10,0,6,0,0,0,0,3,0,0,12,1,0,15,9,1,0,11,0,26,28,0,2,0,3,20,0,0,12,11,6,16,0,0,35,36,0,0,0,11,5,0,10,0,4,0,0,7,0,0,10,8,1,0,0,1,49,14,1,0,1,14,0,0,11,2,0,0,4,0,35,1,1,0,1,14,19,1,2,8,0,2,8,0,0,4,9,0,1,0,0,2,0,5,7,1,29,1,1,0,0,0,15,10,0,8,4,0,0,5,0,93,0,6,0,8,7,0,0,0,21,66,1,0,0,0,0,0,16,0,0,0,40,4,0,16,1,0,3,0,0,0,0,31,0,1,10,5,14,2,1,6,5,6,0,0,0,7,8,0,17,0,3,3,0,0,0,2,1,6,0,0,1,12,3,0,20,7,10,0,0,1,0,0,0,0,3,0,12,0,3,9,3,0,0,1,20,0,1,0,0,0,1,0,22,26,1,0,0,0,0,0,0,35,2,0,0,1,5,15,0,0,0,0,0,2,1,0,0,0,0,2,3,4,0,0,1,0,48,3,3,0,7,3,0,0,3,0,21,18,28,2,0,3,3,0,2,0,8,0,1,2,0,1,6,11,0,15,17,0,7,0,0,6,6,13,0,0,3,4,0,3,10,45,0,0,41,22,0,0,14,0,0,0,6,5,2,17,16,0,2,1,4,0,2,0,13,0,4,28,0,1,1,10,2,0,F7H4A4
8,13,6,0,0,2,8,0,3,0,0,2,0,1,0,2,10,0,1,0,1,8,5,0,11,0,4,2,4,9,7,4,1,1,18,1,0,0,5,0,0,10,1,1,0,6,5,6,0,0,0,1,0,0,19,0,2,0,0,0,0,1,0,0,1,0,1,7,3,1,0,7,0,6,10,1,0,1,0,20,2,0,10,4,8,5,0,0,33,24,0,1,1,12,0,0,7,0,1,0,0,13,0,0,5,2,2,0,0,0,29,4,1,1,8,10,0,0,5,0,0,0,4,0,24,2,0,0,1,10,2,1,9,4,0,0,16,0,0,1,9,0,0,0,1,0,3,2,0,4,13,0,1,0,0,1,12,4,0,5,12,0,0,2,1,112,0,11,0,6,3,0,0,0,16,33,2,0,0,0,0,0,8,3,0,0,20,4,0,13,0,10,3,0,0,0,1,19,0,0,11,2,2,1,0,5,2,8,0,1,1,9,2,0,12,0,1,1,0,0,0,1,1,0,0,0,0,13,0,0,9,3,12,0,0,2,0,0,5,0,0,0,18,1,2,8,1,1,0,3,14,1,0,1,1,0,1,0,7,19,0,1,0,0,0,0,3,13,4,2,0,0,0,5,0,0,0,0,2,2,0,0,0,0,0,5,2,4,0,0,2,0,22,2,7,1,15,0,0,0,1,1,10,8,7,1,0,3,0,1,0,8,5,2,0,2,2,0,11,6,0,4,5,0,4,0,0,2,4,11,0,1,1,0,0,1,4,24,0,0,17,25,0,0,5,0,0,0,3,1,5,9,1,0,0,0,1,0,0,0,4,0,1,27,1,1,6,6,2,0,D11G6E4
