GHITM_1,EIF2S2_13,MARVELD1_4,EIF2S2_6,ARL5B_38,MARVELD1_10,ARL5B_24,SCAF8_27,MARVELD1_1,NEFH_9,ARL5B_8,MARVELD1_7,GHITM_17,NEFH_22,EIF2S2_5,SCAF8_26,ARL5B_42,EIF2S2_19,NEFH_11,SCAF8_36,EIF2S2_24,SCAF8_5,EIF2S2_22,MARVELD1_13,GHITM_4,SCAF8_9,GHITM_6,SCAF8_2,SCAF8_15,ARL5B_44,SCAF8_7,MARVELD1_23,NEFH_21,NEFH_13,GHITM_16,GHITM_12,SCAF8_35,SCAF8_1,EIF2S2_21,SCAF8_6,SCAF8_13,MARVELD1_17,SCAF8_4,MARVELD1_5,GHITM_15,SCAF8_25,GHITM_5,GHITM_18,ARL5B_49,ARL5B_7,ARL5B_4,NEFH_5,SCAF8_39,NEFH_28,SCAF8_21,NEFH_23,GHITM_19,NEFH_8,NEFH_24,SCAF8_3,ARL5B_37,GHITM_9,EIF2S2_15,SCAF8_32,SCAF8_23,NEFH_31,SCAF8_14,SCAF8_16,MARVELD1_8,ARL5B_6,ARL5B_51,ARL5B_21,ARL5B_41,NEFH_26,ARL5B_30,SCAF8_17,NEFH_17,ARL5B_26,MARVELD1_20,ARL5B_9,NEFH_16,NEFH_4,SCAF8_44,MARVELD1_15,ARL5B_29,ARL5B_14,ARL5B_31,NEFH_12,ARL5B_46,SCAF8_29,GHITM_10,MARVELD1_2,ARL5B_25,SCAF8_22,ARL5B_28,NEFH_20,NEFH_14,ARL5B_47,SCAF8_38,NEFH_6,EIF2S2_20,ARL5B_52,EIF2S2_16,ARL5B_2,NEFH_29,SCAF8_37,ARL5B_15,GHITM_3,ARL5B_53,EIF2S2_23,SCAF8_42,ARL5B_36,NEFH_15,GHITM_11,EIF2S2_7,NEFH_25,ARL5B_27,MARVELD1_22,MARVELD1_12,GHITM_13,GHITM_20,GHITM_8,NEFH_10,MARVELD1_16,EIF2S2_11,SCAF8_41,EIF2S2_10,ARL5B_3,NEFH_18,SCAF8_20,ARL5B_34,EIF2S2_8,SCAF8_11,ARL5B_10,SCAF8_40,EIF2S2_12,EIF2S2_4,ARL5B_39,ARL5B_40,NEFH_7,NEFH_3,MARVELD1_6,MARVELD1_11,ARL5B_35,MARVELD1_27,GHITM_7,MARVELD1_18,ARL5B_22,SCAF8_43,SCAF8_34,MARVELD1_25,ARL5B_23,MARVELD1_24,SCAF8_33,ARL5B_48,EIF2S2_3,NEFH_19,EIF2S2_2,ARL5B_11,ARL5B_13,ARL5B_32,SCAF8_8,EIF2S2_1,NEFH_2,SCAF8_10,NEFH_27,MARVELD1_21,SCAF8_18,ARL5B_33,MARVELD1_3,SCAF8_30,ARL5B_5,ARL5B_50,ARL5B_12,SCAF8_31,MARVELD1_9,SCAF8_19,ARL5B_43,MARVELD1_26,MARVELD1_14,GHITM_14,ARL5B_19,ARL5B_20,EIF2S2_17,ARL5B_16,ARL5B_1,GHITM_2,NEFH_30,MARVELD1_19,SCAF8_12,SCAF8_24,ARL5B_17,EIF2S2_18,ARL5B_45,NEFH_1,EIF2S2_9,EIF2S2_14,ARL5B_18,SCAF8_28,cell
16,0,0,0,3,2,4,16,1,0,1,2,2,1,19,12,1,23,42,3,34,7,15,3,23,13,14,7,8,2,5,3,39,5,15,22,17,6,3,16,5,5,3,6,10,24,34,10,1,8,3,6,9,1,3,1,1,2,0,4,7,0,2,6,9,12,10,6,4,15,3,5,0,0,4,8,9,1,2,6,1,3,1,3,6,4,5,1,7,3,14,4,9,19,6,0,2,3,5,1,18,1,22,9,0,10,5,6,5,32,39,2,0,9,0,0,3,12,5,17,22,27,1,3,0,12,22,0,0,2,5,6,14,6,7,20,1,4,4,0,17,0,6,11,28,14,1,11,4,2,6,2,3,7,8,3,0,5,9,80,13,28,1,0,11,5,1,13,8,3,5,6,6,1,10,6,4,5,6,1,14,6,27,76,2,18,19,0,7,14,13,2,42,8,0,1,25,5,11,G11A1H4
2,3,0,0,0,1,2,1,2,0,4,0,1,0,5,4,0,2,0,1,7,1,3,2,3,1,3,0,2,1,3,0,1,1,2,4,1,1,0,1,2,1,3,0,4,7,3,2,0,2,0,0,6,1,1,0,0,1,0,1,0,0,0,0,4,0,3,2,1,2,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,1,1,5,2,0,3,1,0,0,0,0,0,6,0,4,5,0,4,1,0,1,8,2,0,0,14,0,0,0,0,0,6,5,4,0,1,0,0,4,0,0,2,2,3,2,0,1,12,0,1,1,0,0,0,0,0,6,2,0,0,0,2,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,2,0,1,1,1,2,1,0,2,2,0,2,0,0,1,2,2,2,7,2,1,7,0,2,1,3,4,6,2,0,0,4,0,1,C8G5E4
9,0,4,1,4,2,3,5,0,0,3,2,0,0,10,5,4,0,0,2,13,3,12,3,10,5,6,0,2,4,3,0,0,2,10,7,4,2,0,4,5,4,0,2,8,15,8,10,4,1,7,0,3,1,1,3,3,1,1,1,6,1,5,8,1,2,2,2,2,5,3,3,5,0,1,5,5,2,2,7,0,1,1,4,5,2,5,0,8,7,8,5,4,2,6,0,0,2,1,0,18,7,14,3,0,3,1,9,3,13,3,2,0,7,0,0,3,1,2,5,7,8,0,4,0,1,17,4,0,4,5,2,2,6,2,11,0,2,2,0,6,5,4,3,6,6,3,0,2,5,3,2,2,3,1,0,0,2,5,7,3,4,2,6,4,0,1,6,12,1,3,6,6,1,1,3,1,6,5,6,6,10,6,7,2,3,7,0,23,1,3,2,12,5,2,0,9,10,6,D10H2F4
14,1,4,2,0,1,3,2,2,0,1,3,0,1,25,11,2,0,0,5,29,3,30,4,14,14,21,3,4,2,5,1,0,1,16,9,7,4,1,5,4,4,5,0,12,5,8,11,1,3,0,0,6,2,4,0,2,0,0,2,5,2,1,6,2,1,8,8,2,4,6,2,6,0,2,7,2,1,3,2,0,0,3,0,4,3,3,0,4,6,9,4,1,7,4,0,0,4,4,0,25,3,21,2,0,5,3,11,3,54,8,4,0,16,0,0,5,0,1,12,14,26,0,2,1,4,36,0,1,2,1,4,11,8,2,34,0,2,2,0,3,0,1,2,12,23,4,2,2,4,1,2,0,6,3,0,0,0,3,7,3,4,2,0,3,2,0,2,3,5,3,2,3,3,2,1,5,3,1,2,10,5,3,37,5,3,11,0,3,8,6,6,23,2,0,1,29,12,3,E12E4F4
10,0,3,2,2,1,0,2,3,0,5,9,0,0,9,4,2,0,0,4,17,2,4,2,9,1,7,4,4,2,1,2,2,1,12,6,3,5,0,1,2,8,2,0,4,5,8,7,4,1,3,1,5,0,1,1,0,1,0,3,0,0,1,5,0,3,3,4,0,0,2,2,2,0,0,6,7,0,2,2,0,0,0,0,3,0,3,0,8,2,3,3,1,5,3,0,0,2,2,1,13,7,8,1,0,1,6,4,0,11,2,2,0,7,0,0,1,1,3,12,17,14,0,8,0,6,3,0,0,6,2,1,1,6,4,5,2,0,0,0,2,2,1,3,11,8,5,3,4,4,3,4,4,7,0,0,0,0,4,2,0,1,0,0,4,1,2,0,4,3,8,5,2,1,1,1,0,2,3,4,9,2,9,9,1,2,7,0,1,3,6,5,6,4,0,0,5,4,1,E9H1H4
79,4,13,10,19,21,21,42,11,0,21,12,3,6,167,51,37,11,8,32,239,20,202,17,122,42,116,22,22,21,30,4,4,45,88,70,43,29,8,34,32,25,42,6,76,36,126,80,18,28,29,1,33,16,24,0,6,4,4,24,50,1,9,46,19,14,34,43,15,32,13,25,28,1,32,49,18,19,16,46,0,3,13,14,35,33,36,1,32,40,71,23,30,35,41,0,0,22,33,2,216,19,153,36,0,29,35,52,32,322,39,32,1,147,6,1,31,10,24,88,122,139,4,14,8,36,216,7,1,29,27,9,38,38,49,199,5,15,48,1,22,12,17,39,49,108,28,23,17,29,17,43,16,67,16,9,2,11,34,160,40,38,11,0,35,11,5,11,37,13,61,26,29,27,30,27,46,23,22,20,96,43,39,258,26,31,109,2,12,39,54,42,194,45,0,10,174,43,50,H12C4F4
3,0,0,1,3,0,4,0,0,0,2,0,0,1,10,3,2,0,0,2,12,1,9,1,4,3,7,4,3,3,1,0,1,2,2,4,4,3,0,6,0,0,0,0,2,3,5,2,2,4,3,0,3,0,0,0,0,1,0,2,1,0,1,3,0,2,1,2,0,1,1,1,1,0,0,4,1,1,1,2,0,0,2,0,1,3,2,0,2,2,3,1,4,1,0,0,0,0,3,0,18,2,9,1,0,4,3,1,3,15,1,1,0,7,0,0,3,0,3,3,10,4,0,1,0,4,6,2,0,2,2,1,4,1,2,8,1,0,0,0,2,0,0,1,5,3,2,0,6,3,0,4,2,4,1,0,0,0,3,6,1,4,1,0,1,2,0,2,0,0,6,2,0,4,2,2,3,3,2,0,7,2,2,4,1,0,3,0,0,5,1,0,10,3,0,0,9,4,4,F8H5F4
10,0,0,0,0,0,3,5,0,0,3,0,0,0,26,5,3,1,0,3,21,8,11,3,9,8,11,8,2,6,3,0,2,1,8,12,4,6,0,9,5,3,4,0,4,6,13,6,1,3,4,2,6,0,1,0,1,2,0,5,1,0,0,4,1,2,6,4,2,9,4,1,3,0,3,7,7,1,0,4,0,0,5,0,6,1,3,0,2,6,5,3,4,5,3,0,0,2,6,0,19,1,20,0,0,5,2,12,4,33,5,0,0,13,2,0,1,1,1,4,9,4,2,0,1,6,40,2,0,2,3,0,4,4,1,14,1,1,0,0,5,0,0,1,10,12,2,1,2,4,0,4,0,2,0,0,0,0,3,11,0,6,0,0,5,0,0,2,0,1,5,1,1,3,3,1,7,1,0,0,2,1,3,31,0,3,20,0,3,3,5,3,17,7,0,1,15,3,5,E7H3H4
6,2,1,0,5,5,10,8,2,0,2,6,1,0,20,10,6,0,0,5,24,7,19,3,17,14,19,5,2,11,1,0,0,4,37,8,17,1,2,10,6,5,3,3,7,9,8,7,4,3,4,3,11,0,3,0,1,5,0,4,4,0,0,11,2,3,6,8,1,6,0,4,4,0,0,14,10,5,2,3,0,1,3,5,6,5,5,0,10,4,6,2,8,5,7,0,0,7,8,0,46,5,12,4,0,6,12,7,3,26,8,5,2,13,1,0,5,3,4,10,17,22,2,7,2,4,23,2,0,6,2,1,2,7,6,28,2,2,8,0,18,1,3,2,12,21,6,7,6,4,2,6,2,7,2,0,0,0,8,11,10,11,1,0,12,16,6,2,2,0,4,3,0,3,0,0,17,2,2,4,2,6,9,27,4,5,7,0,1,3,2,1,19,8,0,0,22,6,6,B7B3E4
11,3,4,1,2,0,6,4,3,0,2,3,0,1,13,7,0,0,0,7,17,6,20,1,16,10,12,0,0,8,0,1,0,2,11,5,6,0,0,0,6,4,2,0,4,19,12,9,8,7,3,1,3,0,0,0,3,2,2,7,1,0,4,3,1,6,4,2,4,1,3,5,2,0,0,4,7,0,3,2,0,0,0,0,4,2,1,0,3,2,10,3,6,1,2,0,0,0,2,0,10,5,19,0,0,2,0,9,2,28,9,5,0,6,1,0,3,0,4,7,8,3,0,1,0,3,10,1,0,6,2,7,2,3,3,16,0,1,2,1,1,3,0,3,12,10,4,3,1,2,1,1,0,5,0,0,0,5,0,8,4,3,5,5,2,0,0,2,14,1,0,0,1,1,2,3,0,3,4,2,5,5,4,24,0,1,5,1,31,3,0,2,19,6,2,3,3,2,2,D10D1C4
