GHITM_1,EIF2S2_13,MARVELD1_4,EIF2S2_6,ARL5B_38,MARVELD1_10,ARL5B_24,SCAF8_27,MARVELD1_1,NEFH_9,ARL5B_8,MARVELD1_7,GHITM_17,NEFH_22,EIF2S2_5,SCAF8_26,ARL5B_42,EIF2S2_19,NEFH_11,SCAF8_36,EIF2S2_24,SCAF8_5,EIF2S2_22,MARVELD1_13,GHITM_4,SCAF8_9,GHITM_6,SCAF8_2,SCAF8_15,ARL5B_44,SCAF8_7,MARVELD1_23,NEFH_21,NEFH_13,GHITM_16,GHITM_12,SCAF8_35,SCAF8_1,EIF2S2_21,SCAF8_6,SCAF8_13,MARVELD1_17,SCAF8_4,MARVELD1_5,GHITM_15,SCAF8_25,GHITM_5,GHITM_18,ARL5B_49,ARL5B_7,ARL5B_4,NEFH_5,SCAF8_39,NEFH_28,SCAF8_21,NEFH_23,GHITM_19,NEFH_8,NEFH_24,SCAF8_3,ARL5B_37,GHITM_9,EIF2S2_15,SCAF8_32,SCAF8_23,NEFH_31,SCAF8_14,SCAF8_16,MARVELD1_8,ARL5B_6,ARL5B_51,ARL5B_21,ARL5B_41,NEFH_26,ARL5B_30,SCAF8_17,NEFH_17,ARL5B_26,MARVELD1_20,ARL5B_9,NEFH_16,NEFH_4,SCAF8_44,MARVELD1_15,ARL5B_29,ARL5B_14,ARL5B_31,NEFH_12,ARL5B_46,SCAF8_29,GHITM_10,MARVELD1_2,ARL5B_25,SCAF8_22,ARL5B_28,NEFH_20,NEFH_14,ARL5B_47,SCAF8_38,NEFH_6,EIF2S2_20,ARL5B_52,EIF2S2_16,ARL5B_2,NEFH_29,SCAF8_37,ARL5B_15,GHITM_3,ARL5B_53,EIF2S2_23,SCAF8_42,ARL5B_36,NEFH_15,GHITM_11,EIF2S2_7,NEFH_25,ARL5B_27,MARVELD1_22,MARVELD1_12,GHITM_13,GHITM_20,GHITM_8,NEFH_10,MARVELD1_16,EIF2S2_11,SCAF8_41,EIF2S2_10,ARL5B_3,NEFH_18,SCAF8_20,ARL5B_34,EIF2S2_8,SCAF8_11,ARL5B_10,SCAF8_40,EIF2S2_12,EIF2S2_4,ARL5B_39,ARL5B_40,NEFH_7,NEFH_3,MARVELD1_6,MARVELD1_11,ARL5B_35,MARVELD1_27,GHITM_7,MARVELD1_18,ARL5B_22,SCAF8_43,SCAF8_34,MARVELD1_25,ARL5B_23,MARVELD1_24,SCAF8_33,ARL5B_48,EIF2S2_3,NEFH_19,EIF2S2_2,ARL5B_11,ARL5B_13,ARL5B_32,SCAF8_8,EIF2S2_1,NEFH_2,SCAF8_10,NEFH_27,MARVELD1_21,SCAF8_18,ARL5B_33,MARVELD1_3,SCAF8_30,ARL5B_5,ARL5B_50,ARL5B_12,SCAF8_31,MARVELD1_9,SCAF8_19,ARL5B_43,MARVELD1_26,MARVELD1_14,GHITM_14,ARL5B_19,ARL5B_20,EIF2S2_17,ARL5B_16,ARL5B_1,GHITM_2,NEFH_30,MARVELD1_19,SCAF8_12,SCAF8_24,ARL5B_17,EIF2S2_18,ARL5B_45,NEFH_1,EIF2S2_9,EIF2S2_14,ARL5B_18,SCAF8_28,cell
2,1,5,0,0,1,0,1,3,0,0,2,0,0,4,4,1,1,0,1,11,3,10,3,11,1,1,3,1,0,1,0,0,2,6,11,3,3,0,3,0,2,3,0,4,2,8,4,0,3,4,0,3,0,4,0,0,0,0,5,0,0,2,4,1,1,1,1,3,1,0,7,0,0,0,3,5,1,1,1,2,1,0,1,1,0,3,0,2,7,14,5,1,0,2,0,0,0,2,1,23,0,8,0,0,1,0,0,0,10,3,0,0,6,0,1,1,0,1,5,5,14,0,3,0,0,7,1,0,3,5,1,3,2,1,1,0,0,0,0,1,0,0,1,7,3,5,2,0,0,0,3,0,1,0,1,0,3,0,3,2,2,0,0,3,0,1,3,0,4,1,0,3,0,0,3,1,1,2,1,5,2,3,11,0,3,11,0,4,0,2,3,5,4,0,1,5,1,1,D9A3H4
5,1,3,0,0,2,4,4,1,0,1,3,2,0,10,10,1,0,0,0,15,0,12,3,7,8,5,0,1,1,1,2,0,2,8,1,7,3,0,3,2,5,3,0,6,4,2,4,2,1,1,0,4,0,0,0,0,2,0,3,5,3,1,0,2,4,7,5,0,2,0,1,1,0,0,9,3,0,4,0,0,1,3,2,2,3,2,0,3,6,6,2,3,4,2,0,0,1,3,0,13,0,8,1,0,3,1,0,0,18,13,3,0,5,0,0,0,0,1,4,0,6,1,0,1,2,10,0,0,12,1,1,8,0,4,5,1,0,0,0,4,2,1,2,6,5,5,1,2,3,0,4,0,4,0,1,0,0,1,1,2,2,0,0,8,4,0,2,0,1,0,1,3,4,3,2,4,1,0,3,7,2,4,14,1,0,7,0,8,6,8,2,11,5,0,0,14,0,1,F8C5A4
1,0,3,1,0,0,3,6,0,0,3,1,0,0,10,7,1,1,0,2,9,2,9,2,6,2,8,2,1,0,9,1,0,5,5,4,5,8,2,5,1,1,2,0,7,1,9,3,0,2,3,1,2,2,1,0,0,0,0,4,2,0,0,6,2,0,4,4,0,1,2,2,1,0,1,1,31,0,2,7,0,0,1,1,3,0,0,0,3,1,5,1,0,6,2,0,0,4,2,1,15,0,7,2,0,2,4,2,3,18,5,2,0,13,1,0,2,0,2,10,10,6,0,0,1,5,8,0,0,4,1,6,2,3,0,14,0,0,1,0,4,0,2,1,5,9,3,0,0,1,0,0,1,2,2,1,0,0,2,2,1,3,2,0,5,0,0,0,4,0,2,1,0,0,1,2,2,0,2,1,5,2,1,12,0,0,6,0,1,3,2,3,7,3,0,2,10,11,2,G12H6F4
67,2,15,2,15,18,14,38,10,0,20,11,3,5,127,39,26,12,4,21,166,26,126,12,110,27,141,23,21,13,11,7,1,19,83,66,31,28,6,26,25,40,34,5,56,22,95,73,10,11,31,0,40,7,10,4,2,3,0,29,34,0,12,38,23,12,26,29,19,22,14,15,9,2,13,28,19,7,21,22,0,1,15,12,37,18,13,2,26,24,69,19,30,30,19,1,4,17,12,4,173,13,161,26,0,22,23,54,24,206,24,19,2,124,5,0,21,8,24,72,124,130,4,21,8,29,163,9,0,21,27,17,23,28,21,93,7,5,20,1,23,5,24,24,225,95,17,15,19,14,25,5,19,28,10,4,4,6,26,45,18,27,8,3,40,6,20,14,17,29,21,30,16,17,20,23,25,19,18,17,84,19,68,147,19,50,92,2,30,36,25,32,130,34,0,9,138,29,19,D12D2B4
19,0,2,5,8,3,2,10,4,0,12,5,3,6,42,15,8,7,0,13,54,6,44,5,39,12,31,12,7,3,7,1,4,16,39,7,41,8,7,12,16,8,9,3,16,18,35,25,1,6,14,4,11,7,7,1,0,1,0,7,12,0,4,27,7,9,12,32,10,27,4,11,19,0,8,31,5,6,4,13,0,2,6,1,14,26,6,3,10,10,24,12,11,10,10,0,2,6,16,2,63,5,37,11,0,8,16,17,14,98,21,12,0,36,1,0,16,9,3,26,37,39,17,5,3,13,62,4,0,10,13,5,11,11,12,36,3,1,7,4,10,4,1,5,13,29,8,9,5,9,1,12,8,11,5,0,0,2,4,23,15,8,2,0,27,20,3,9,11,3,11,11,7,14,8,7,12,3,7,8,19,8,16,64,18,12,32,0,4,10,12,11,60,10,0,2,42,14,16,G7E6F4
24,3,2,4,1,3,0,4,3,0,5,3,0,1,36,11,7,2,2,11,72,5,39,4,38,7,24,12,3,2,5,1,1,5,31,16,7,13,4,10,13,9,3,3,19,12,13,25,2,3,0,1,13,1,3,1,0,1,0,12,8,0,1,9,5,3,6,8,5,3,3,3,8,0,2,20,4,3,3,8,0,1,0,2,2,4,5,1,10,8,25,6,5,5,1,0,0,7,12,1,63,4,44,4,0,8,2,12,2,57,8,9,0,37,4,1,2,0,12,27,32,33,1,1,2,9,40,2,0,8,3,8,10,8,11,37,3,1,8,1,5,7,3,7,10,39,11,4,6,12,1,6,2,11,5,0,0,5,2,17,10,6,1,0,13,0,2,10,3,0,8,7,2,0,7,6,10,1,4,1,23,3,3,64,5,12,43,1,11,15,13,10,39,9,0,4,32,10,12,A7B3B4
8,1,2,0,0,1,8,0,0,0,2,0,0,3,12,5,3,0,0,1,15,2,14,2,11,6,9,3,1,5,3,1,0,6,16,5,8,3,0,10,7,5,3,0,13,6,16,10,1,11,0,0,5,0,2,0,0,1,0,3,9,0,10,4,2,7,7,6,1,3,1,4,0,0,2,3,3,3,1,1,0,0,3,1,4,8,1,0,5,2,7,0,4,8,1,0,0,1,1,0,17,6,14,1,0,2,2,3,3,27,3,2,0,8,1,0,3,0,1,6,9,20,1,1,0,2,17,0,0,4,1,2,4,3,2,18,0,0,1,0,3,0,2,2,13,10,3,1,0,2,0,1,3,6,0,0,0,2,3,9,7,2,0,1,5,0,1,3,5,1,6,2,0,1,8,2,5,1,3,4,8,2,2,20,2,4,20,0,11,7,2,3,12,5,0,1,17,5,1,H11H5A4
11,0,0,1,0,1,2,6,1,0,1,3,0,0,14,5,4,1,0,5,24,2,10,0,10,3,8,8,5,2,3,1,2,0,5,8,1,2,3,3,2,8,6,1,8,3,10,11,3,1,2,0,2,3,3,0,0,0,0,0,6,0,0,1,1,4,3,7,1,2,0,1,4,0,0,10,3,1,0,7,0,1,5,1,2,0,2,0,6,1,2,3,4,2,4,0,0,3,3,0,15,1,14,1,0,3,6,3,6,42,4,1,0,10,0,0,2,1,4,10,12,6,1,0,0,7,20,1,0,4,4,3,6,4,4,15,1,2,3,0,3,1,0,1,8,5,3,2,2,5,0,3,2,2,3,0,0,0,1,7,3,6,0,0,3,0,2,1,3,1,6,3,1,2,5,3,0,5,2,6,6,6,4,18,7,6,10,0,6,7,2,2,10,7,0,1,13,3,3,C9H6B4
65,2,7,3,20,14,25,20,12,0,11,12,5,0,77,34,23,14,2,17,118,17,95,14,85,26,84,15,17,12,13,4,7,10,57,49,248,22,4,20,16,11,14,3,57,17,73,62,5,17,15,2,25,2,7,0,5,2,1,9,29,3,2,18,7,5,22,25,14,24,9,17,11,1,20,28,16,8,18,26,1,2,17,10,26,22,19,0,25,17,37,25,17,22,17,0,5,16,20,1,124,18,74,21,0,18,13,36,22,140,24,27,1,80,3,0,16,3,10,56,73,94,2,14,6,15,90,10,4,31,22,12,26,18,33,71,2,9,17,1,13,4,23,13,53,74,13,21,15,16,7,19,10,29,8,4,1,4,21,36,29,16,1,1,16,3,9,11,17,11,20,21,21,14,12,18,17,9,22,9,58,21,19,129,17,23,77,0,12,25,42,20,87,26,0,5,83,40,16,F10G2F4
7,0,2,0,0,3,1,6,0,0,1,0,0,0,10,4,3,0,1,2,10,0,10,3,7,3,8,3,0,2,4,2,1,2,11,4,9,4,0,2,0,2,1,1,5,7,1,4,0,3,0,3,9,0,3,0,3,1,0,1,1,0,4,6,2,1,6,1,0,2,0,5,0,0,5,2,4,0,3,3,0,0,1,0,6,2,4,1,1,2,26,1,3,5,0,0,0,0,5,0,8,3,16,1,0,3,2,5,4,36,3,3,0,4,0,0,1,1,0,7,11,7,0,3,0,3,7,1,0,0,1,6,2,6,0,17,0,1,0,2,3,3,1,3,4,12,0,4,0,1,0,4,1,6,3,1,0,2,1,4,1,4,0,1,5,1,2,1,4,1,5,2,5,2,1,4,0,3,3,6,5,5,2,15,3,4,6,0,2,4,3,3,12,6,0,4,15,2,2,B11E3H4
2,1,1,0,0,0,0,8,1,0,1,1,0,0,14,8,2,1,0,0,21,1,3,1,14,4,9,1,0,2,4,0,0,3,10,4,3,5,1,0,3,3,4,1,3,7,4,4,0,5,4,0,6,0,0,0,0,1,0,2,3,0,0,6,3,2,4,4,3,4,0,1,4,0,0,2,1,0,1,2,0,0,1,1,8,4,4,0,3,4,11,3,0,5,1,0,0,1,4,0,16,2,20,2,0,6,2,2,4,16,5,2,0,16,0,0,2,0,1,5,2,3,0,2,0,1,13,2,0,4,3,1,2,2,2,16,0,1,0,0,5,1,2,2,5,8,1,2,1,1,0,2,2,8,0,0,0,0,2,3,7,4,0,0,1,0,1,1,2,1,5,6,3,1,5,2,6,2,1,4,8,2,5,12,1,1,6,0,2,5,6,4,13,2,0,0,16,2,2,A12E1F4
29,2,3,2,8,11,10,19,6,0,15,8,0,1,69,33,10,4,5,14,78,11,70,14,38,22,53,13,17,9,13,3,4,13,31,23,25,10,2,18,12,5,24,2,29,15,36,18,9,9,23,4,21,5,13,1,3,3,0,15,13,1,7,17,12,9,21,25,7,56,2,15,7,1,16,18,9,5,6,8,1,1,8,5,22,12,19,0,18,11,25,18,13,12,14,0,4,11,15,1,79,11,56,8,0,12,17,48,16,128,20,13,0,52,0,1,19,6,3,25,56,46,2,8,6,17,59,15,0,18,15,9,12,21,13,61,1,3,12,1,29,5,1,9,27,42,5,13,12,14,3,8,7,19,10,4,4,1,23,74,21,26,2,1,23,6,1,12,16,6,17,15,9,13,11,5,19,8,9,12,32,13,23,145,13,11,57,0,7,23,19,13,76,22,0,5,54,19,22,E7G5H4
19,1,8,2,6,11,0,4,1,0,4,12,2,0,30,19,11,2,1,13,62,6,37,3,14,12,20,6,12,5,1,4,11,8,16,12,18,10,34,10,13,8,13,3,15,11,28,11,4,12,11,1,11,1,2,0,1,1,0,6,9,0,0,8,1,7,20,26,5,25,3,6,3,0,6,8,47,2,6,0,0,1,3,3,9,4,1,0,2,6,14,6,10,6,4,0,1,4,10,0,38,7,30,5,0,4,10,7,2,50,15,5,0,22,0,0,5,1,11,12,29,30,2,5,3,9,48,3,0,8,7,15,13,9,9,39,3,3,3,0,4,3,6,7,19,33,7,3,9,6,7,9,3,5,1,0,0,4,19,25,4,4,2,0,17,3,2,1,4,6,12,4,3,3,2,7,8,4,8,11,13,6,11,51,8,11,20,0,8,8,19,9,38,3,0,0,26,12,7,C9A3H4
1,0,0,0,1,0,0,1,2,0,2,1,0,0,3,1,0,1,0,0,4,0,7,1,8,1,8,1,1,0,0,0,0,1,4,2,3,1,0,1,2,2,2,0,7,0,10,5,2,1,0,0,5,0,0,1,1,0,0,1,3,0,0,0,1,3,3,1,0,4,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,1,3,0,0,2,2,1,1,1,1,1,2,0,0,0,6,0,8,1,0,0,1,0,0,9,1,1,0,2,0,0,3,0,1,2,4,6,1,3,0,0,8,0,0,3,1,0,2,2,2,4,0,2,1,0,0,0,1,0,6,3,2,1,0,0,0,1,0,1,0,2,0,1,3,4,0,0,0,0,3,1,1,0,3,1,0,0,0,2,4,1,0,2,1,0,2,0,2,6,1,1,4,0,2,1,0,0,4,3,0,0,4,0,1,G10H2A4
14,1,2,4,6,0,4,4,1,2,6,0,0,0,23,8,3,0,0,4,34,6,37,9,19,6,8,4,4,4,3,0,0,1,19,13,8,5,0,4,0,3,3,2,4,4,6,13,0,2,1,1,8,0,2,1,0,1,0,2,4,0,0,5,1,2,3,5,2,6,1,1,0,0,4,1,66,0,5,5,0,0,0,2,5,4,1,0,2,1,6,5,3,8,2,0,0,1,2,0,28,2,17,3,0,1,9,9,5,50,9,5,0,15,0,0,0,3,2,19,23,15,0,2,0,1,44,5,0,6,2,10,5,0,7,30,0,0,3,1,1,0,1,6,10,14,6,0,3,5,0,4,3,1,1,0,0,0,7,7,2,4,0,0,7,0,0,3,4,1,4,0,0,2,7,2,3,0,3,6,5,4,5,31,1,2,18,0,2,6,6,4,29,9,0,0,18,16,4,G12D3H4
1,0,0,0,0,1,1,0,0,0,1,0,1,0,4,2,1,0,0,1,5,0,4,3,3,2,6,3,0,2,1,1,0,0,4,1,1,1,0,0,3,1,1,0,2,2,6,7,0,0,4,0,2,1,0,0,0,0,0,3,1,1,0,2,1,1,2,0,1,1,0,0,1,0,0,2,2,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,3,1,0,0,0,0,1,0,6,0,2,0,0,0,5,3,0,5,1,0,0,5,0,0,0,0,1,1,3,1,0,0,0,1,5,0,0,1,0,0,0,0,1,2,1,0,2,0,2,0,0,2,7,6,4,0,1,1,1,1,0,1,0,0,0,1,1,1,2,2,0,0,2,2,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,6,0,0,3,0,3,3,0,1,8,2,0,0,3,2,1,F8H6D4
1,2,1,0,0,1,2,2,0,0,1,0,0,0,10,5,1,0,0,0,10,0,6,1,3,2,4,2,2,3,2,0,0,2,10,8,1,0,0,3,4,1,2,2,2,4,2,7,0,0,1,0,7,1,3,0,0,1,3,5,0,0,1,3,3,5,2,6,1,1,1,3,0,0,2,2,7,0,1,1,0,0,0,3,3,0,1,0,1,3,9,2,0,1,0,2,0,1,2,0,12,0,14,4,0,3,2,3,0,11,3,1,0,3,0,0,0,0,1,4,8,7,1,0,0,3,5,0,0,3,1,7,2,1,1,8,0,0,2,0,1,0,3,2,10,8,1,1,1,0,0,0,0,3,0,0,8,5,7,2,2,4,1,0,4,0,3,5,2,0,4,0,3,3,2,0,4,3,0,3,0,1,3,11,4,3,7,0,2,5,2,0,7,2,0,2,15,2,1,F11A5H4
41,2,2,4,4,9,20,22,3,0,21,7,1,0,81,76,12,9,3,16,115,17,79,7,53,26,62,17,13,6,22,1,14,7,41,33,28,20,8,28,11,9,12,3,29,21,57,32,3,13,21,5,37,21,5,1,0,4,2,12,17,0,6,31,11,13,28,41,10,11,9,9,13,0,7,27,16,12,9,17,7,3,10,3,16,14,11,1,15,20,36,13,13,41,11,2,3,14,16,17,71,11,58,9,0,21,15,27,10,97,51,9,0,72,1,7,10,0,11,36,46,61,2,7,3,9,83,6,0,15,23,9,28,14,19,72,3,5,24,2,12,1,13,5,38,47,14,15,10,15,3,11,12,23,9,4,4,0,10,30,14,32,2,2,23,5,3,10,12,7,24,13,13,4,16,6,8,8,9,8,28,9,28,127,6,29,43,0,7,26,25,13,81,25,2,4,73,22,23,D9G2C4
41,1,13,1,11,6,12,33,3,0,9,2,0,0,60,43,20,1,1,20,96,15,64,13,53,22,44,13,8,10,15,2,3,19,40,35,26,12,4,23,24,14,23,0,43,32,61,36,8,7,14,1,33,2,17,0,3,6,0,10,23,1,4,13,12,5,17,24,12,26,7,21,17,2,7,23,7,6,7,14,0,1,9,5,15,9,9,1,15,21,33,12,11,34,17,0,1,7,12,0,100,12,71,10,0,19,19,20,13,129,23,11,0,43,1,0,17,7,11,32,56,53,0,14,5,19,92,5,0,25,19,7,33,23,15,63,2,5,18,1,7,4,7,9,25,56,13,13,10,11,2,13,8,19,6,1,0,4,15,24,16,27,1,0,19,1,10,5,5,0,21,11,12,12,12,7,23,12,7,13,32,19,23,80,8,13,25,0,17,17,21,17,109,16,0,2,87,11,14,C7H5D4
28,0,1,3,5,4,9,18,4,0,10,5,0,1,62,20,11,2,1,10,77,7,52,4,45,13,44,20,3,5,14,1,2,5,31,39,18,6,0,17,7,8,24,1,35,6,43,37,6,17,10,1,13,3,6,0,2,2,0,17,15,2,3,5,11,3,15,10,8,14,4,6,3,0,12,16,8,2,6,11,0,3,5,5,12,9,13,1,17,13,22,11,10,7,15,0,0,8,8,0,66,7,49,6,0,11,17,18,5,99,13,8,0,31,1,0,12,4,12,25,55,35,3,9,1,16,46,10,0,8,10,8,14,20,7,41,10,3,7,1,8,2,4,6,14,54,9,7,6,10,4,13,11,7,6,0,0,5,12,34,10,11,5,0,15,4,0,5,11,3,14,12,12,6,9,9,4,10,10,10,18,18,6,73,15,9,45,0,5,16,11,8,60,16,0,0,59,19,8,H12G3A4
13,4,4,1,4,5,2,7,1,5,10,2,1,0,45,16,10,1,0,12,50,8,32,8,22,11,24,7,7,5,5,0,1,5,27,22,16,13,5,8,12,5,7,0,26,14,30,20,0,4,4,1,4,5,5,0,0,1,5,7,5,0,1,4,8,5,8,18,4,6,4,1,2,0,4,9,148,4,2,4,0,0,6,4,7,2,9,6,3,15,24,6,4,10,6,0,0,2,8,1,45,5,34,6,0,6,8,8,5,64,20,3,0,30,0,0,6,0,9,19,18,35,0,4,3,13,45,0,0,18,5,18,15,9,9,34,1,4,2,0,16,1,2,13,16,28,9,9,5,12,3,4,4,11,3,4,0,1,5,6,6,10,0,0,14,1,1,2,9,1,8,9,5,2,13,3,5,3,3,5,20,5,9,46,4,2,19,0,8,4,13,3,44,7,0,0,37,45,11,G12G4B4
4,0,2,1,0,1,2,2,0,0,5,1,0,0,8,3,5,1,0,1,13,0,16,1,6,6,4,0,1,3,5,0,0,0,9,6,0,4,1,1,0,1,5,0,4,0,3,4,5,5,1,0,7,1,0,1,0,1,0,0,1,0,0,6,2,1,1,2,1,5,2,2,3,0,1,2,40,1,0,3,0,0,0,0,2,5,4,0,7,2,1,1,3,1,1,0,0,2,3,4,7,4,9,3,0,1,1,3,6,11,3,1,0,8,0,0,4,0,1,3,10,4,0,2,2,4,8,0,0,5,2,9,4,2,2,5,0,1,2,0,7,0,0,1,4,1,1,4,1,0,0,3,1,1,4,0,0,0,0,9,7,3,3,0,6,0,0,0,5,2,3,7,3,3,2,0,7,3,0,1,2,5,2,6,9,2,3,0,0,0,1,9,7,6,0,0,4,20,0,G12E1B4
1,1,0,4,1,1,1,2,1,0,1,0,0,0,3,3,0,0,0,0,11,0,6,0,1,2,5,0,0,0,0,0,0,3,2,0,2,0,0,1,0,0,4,0,1,6,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,2,1,0,0,0,0,1,0,2,1,1,0,0,0,0,3,0,0,0,1,4,1,0,1,2,0,0,0,0,0,0,5,0,4,0,0,1,0,2,0,5,3,1,0,1,0,0,0,0,2,2,4,1,0,1,0,1,7,1,0,0,0,1,2,0,0,2,0,0,0,0,1,0,1,0,3,2,0,0,1,0,0,0,1,1,0,2,0,0,0,0,6,1,0,0,4,0,0,1,0,0,0,0,0,0,2,0,3,1,1,0,2,1,2,7,0,1,0,0,0,2,0,2,9,0,0,0,3,2,1,C7D4C4
4,1,0,0,0,3,7,5,2,0,2,0,0,0,12,3,1,2,0,3,16,4,9,1,6,9,9,2,2,3,4,0,1,1,50,6,13,0,0,7,3,1,5,0,4,4,6,2,0,0,1,3,5,0,2,0,2,0,0,1,0,0,0,3,2,5,1,7,6,1,1,0,2,0,0,7,6,2,0,4,0,1,2,0,0,0,0,0,6,4,3,1,0,3,1,0,1,0,0,0,27,3,11,1,0,2,5,9,3,8,3,2,0,9,1,0,0,0,3,6,14,18,0,2,0,4,16,5,0,5,1,1,3,0,7,12,2,0,2,0,8,1,0,1,8,2,1,4,2,6,2,2,2,1,1,0,0,1,2,6,4,1,2,1,8,15,7,2,4,0,6,1,2,2,4,0,7,1,1,1,7,0,2,15,0,3,7,0,4,1,13,0,17,4,0,0,15,2,4,B7H5G4
4,0,0,0,0,0,2,3,0,0,1,0,0,0,5,46,1,0,0,2,17,1,14,1,4,7,8,7,2,0,1,3,1,2,5,4,2,5,0,2,2,1,3,0,8,10,7,1,0,1,2,2,6,0,1,0,0,0,0,1,2,0,0,1,5,1,6,1,4,0,3,0,1,0,2,6,18,0,1,1,0,0,3,2,2,3,1,0,2,4,3,0,2,0,3,0,0,2,1,10,11,1,5,0,0,4,1,2,2,8,3,0,0,5,0,0,0,2,2,6,4,6,1,0,0,3,13,0,0,5,3,0,7,0,2,8,0,1,0,0,6,2,2,0,10,1,2,1,3,2,0,4,1,4,1,1,0,0,1,6,2,2,0,0,3,0,1,0,1,1,4,0,5,1,0,1,1,1,4,3,4,1,0,11,1,2,11,0,1,2,1,7,9,3,0,1,17,0,5,H7D6A4
12,2,3,4,6,7,3,3,0,0,2,6,0,0,16,8,3,3,0,4,23,1,22,4,19,3,25,3,2,4,2,0,0,6,12,10,12,4,1,4,3,3,8,3,7,3,18,10,0,2,5,0,3,1,1,0,0,2,1,7,7,0,1,2,1,1,2,9,7,4,1,5,4,1,2,10,1,2,5,5,0,0,5,4,7,10,6,0,11,2,9,3,2,4,6,0,0,6,3,0,40,6,36,4,0,8,6,5,8,20,4,7,0,24,0,0,2,2,4,12,14,17,1,1,0,6,17,3,0,10,7,9,9,2,0,15,1,0,1,0,2,2,4,3,10,10,8,8,4,7,4,11,6,4,2,0,1,0,4,11,6,8,1,0,6,0,1,5,3,1,7,5,3,9,3,3,7,4,3,1,22,5,6,27,4,5,18,1,4,11,3,7,17,3,0,1,24,2,6,H8G3D4
16,1,0,0,1,1,0,7,1,0,0,1,0,0,6,3,3,0,0,2,11,6,10,3,10,5,6,4,0,0,2,0,1,1,7,4,2,3,0,5,4,1,6,0,2,9,2,6,0,0,3,0,1,0,0,0,0,1,0,2,3,0,0,3,1,1,4,6,4,1,2,3,1,1,2,1,5,2,2,1,0,0,1,1,2,3,0,0,4,4,2,2,1,3,2,0,0,0,2,0,15,0,10,2,0,2,2,3,1,29,1,2,0,12,0,0,3,1,0,6,9,9,0,1,0,2,9,1,0,4,0,0,3,3,1,2,1,0,1,0,0,0,1,6,9,8,2,0,1,2,1,1,2,4,0,1,0,0,4,5,1,4,0,0,2,0,2,4,1,1,2,1,1,1,2,1,2,0,2,1,3,0,8,18,2,1,11,0,2,2,2,1,13,1,0,0,9,3,0,C11G3E4
5,2,1,0,1,1,0,5,1,0,2,1,0,0,18,3,2,0,0,2,20,2,15,1,8,0,7,1,2,0,2,0,0,0,8,5,5,3,2,3,3,4,2,0,2,4,10,1,0,1,2,0,3,0,1,0,1,2,0,0,3,0,0,4,1,1,6,4,2,0,0,4,2,0,4,7,1,0,2,2,0,0,0,0,4,4,1,0,6,4,17,3,3,4,2,0,0,3,3,0,14,2,9,4,0,2,3,4,2,32,2,3,0,5,0,0,3,0,1,10,11,7,0,2,2,2,12,0,0,5,2,0,4,1,3,17,1,0,2,1,4,1,2,2,5,5,4,2,1,2,0,0,0,4,0,0,0,1,1,6,1,2,1,0,3,0,1,1,5,2,4,3,3,2,4,1,3,1,0,2,3,4,3,28,2,2,4,0,5,1,2,0,17,0,0,2,14,9,1,B11H3A4
3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,3,0,2,0,0,6,2,3,2,2,0,0,1,0,0,2,1,0,0,1,4,1,0,0,1,1,0,0,1,2,0,5,1,0,0,1,0,2,0,0,0,0,2,0,1,1,0,0,1,4,2,1,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,1,0,4,0,0,3,1,1,1,4,0,0,0,0,3,0,7,1,8,1,0,0,2,1,2,3,4,0,0,4,0,1,1,0,1,2,3,4,0,0,1,0,3,0,0,0,1,3,0,1,0,4,0,0,0,0,0,1,0,0,3,2,0,0,1,1,1,2,1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,0,2,1,0,1,1,0,0,1,2,0,1,1,1,10,0,2,3,0,0,4,0,1,3,2,0,0,3,1,1,E11H2F4
44,3,4,2,11,12,9,24,9,0,32,7,0,2,64,39,12,1,1,19,124,18,67,15,64,26,68,23,8,13,13,3,1,11,51,40,39,16,9,15,13,16,16,4,46,24,68,20,9,14,20,1,21,0,5,1,2,3,0,17,19,1,1,19,13,5,20,16,5,16,5,10,11,0,8,23,26,20,9,16,0,1,11,7,26,11,15,1,11,23,35,18,19,13,15,0,6,8,9,2,96,14,66,10,0,16,10,37,13,125,20,13,0,56,3,2,14,2,16,42,83,63,0,10,8,14,86,2,0,16,27,7,21,18,16,74,1,4,6,0,9,7,8,9,25,60,20,19,4,16,6,25,11,14,5,6,0,5,10,23,30,26,0,0,15,2,3,7,16,11,17,25,13,21,12,12,15,14,18,13,51,17,36,95,16,26,49,1,9,15,18,26,86,16,0,2,82,19,22,C12F4G4
