GAPDH5,RPL13A5,RPL13A2,ACTB1,RPL13A1,GAPDH0,ACTB2,GAPDH4,RPL13A4,ACTB0,RPL13A0,GAPDH3,GAPDH1,ACTB3,GAPDH2,ACTB5,ACTB4,RPL13A3,cell
5,10,5,23,7,0,32,0,5,1,0,7,20,71,59,123,49,8,E3A8B1
3,7,4,6,2,0,12,0,3,0,0,1,6,22,29,34,24,7,B1C11H1
7,7,4,11,5,0,21,0,0,0,0,4,8,28,55,80,31,4,H4D8H1
0,0,0,5,0,0,11,0,1,0,0,4,1,20,11,22,14,2,B2H11E1
3,1,0,5,2,0,9,0,3,1,0,2,4,19,10,36,18,3,F1H11A1
1,2,0,0,0,0,6,0,1,1,0,0,1,5,10,11,3,1,E3F8A1
6,13,5,5,1,0,8,0,6,0,0,6,12,26,38,57,22,3,G3C10B1
3,0,1,2,0,1,4,0,0,0,0,0,0,9,3,15,9,0,D1A12B1
4,3,1,2,0,0,5,0,2,0,0,0,1,10,5,14,13,1,H3C7A1
5,2,0,7,0,0,10,0,2,1,0,9,5,36,27,44,19,3,C4E8B1
2,2,2,3,3,0,2,0,3,1,0,0,2,8,13,19,3,4,E1C8B1
4,4,1,3,2,0,19,1,4,1,0,2,6,29,15,34,14,7,C2C7B1
7,6,2,7,1,1,11,0,3,2,0,5,6,26,18,48,27,6,E2B8B1
6,9,7,9,4,0,30,0,1,2,0,8,15,52,53,94,33,5,D2A9E1
2,6,1,0,4,0,8,1,2,1,1,0,3,15,7,17,4,4,E3F9E1
4,23,12,13,8,0,28,0,9,0,0,5,19,45,43,85,42,7,E6E9E1
6,9,2,8,0,0,33,0,3,1,0,5,7,67,45,89,57,5,G6A7H1
0,0,0,2,0,0,6,0,2,1,0,0,4,3,7,13,3,0,B6D11B1
2,7,3,1,1,0,3,0,1,0,0,2,8,7,12,24,14,7,H1E8H1
1,1,1,3,0,0,2,0,1,0,0,0,1,10,6,13,7,0,H1G10H1
16,22,8,31,4,0,58,0,9,1,0,11,32,105,110,203,92,7,F5A7E1
4,3,0,3,1,0,8,4,1,0,0,4,3,15,13,24,8,2,F4G11E1
5,7,3,11,1,0,14,0,2,0,0,3,8,20,30,38,11,7,H3H11E1
0,0,0,1,0,0,2,0,0,0,0,1,3,8,7,15,4,0,A2A7E1
10,9,10,4,0,0,11,1,7,0,0,8,14,19,73,34,16,9,B1C7B1
0,2,1,2,1,0,10,0,2,0,0,2,2,16,18,22,10,3,C3C9A1
4,5,3,1,1,0,7,0,3,0,0,2,2,7,11,9,3,4,G3C8B1
0,2,0,3,0,0,2,0,0,0,0,1,3,10,6,14,14,3,C1H9B1
1,0,0,3,0,0,11,0,1,0,0,1,0,15,11,12,10,1,C3F11A1
3,1,0,0,1,0,7,1,0,0,0,2,6,17,19,13,7,2,C6D8D1
1,2,3,5,0,0,4,0,1,0,0,2,6,10,10,9,8,2,D3D7H1
6,10,5,2,3,0,14,1,2,0,0,4,5,23,23,31,25,5,B1F8E1
1,2,1,2,0,0,1,0,1,0,0,0,4,7,13,8,4,0,F3E10A1
6,5,2,8,3,0,16,0,3,0,0,8,10,26,34,54,28,6,G3A7A1
8,18,8,13,1,0,31,0,5,1,1,10,13,49,34,66,40,4,G6E12B1
1,2,4,4,0,0,8,0,1,0,0,1,7,13,22,22,7,4,H4E10B1
0,2,1,3,0,0,6,0,0,0,0,0,0,16,10,10,3,3,B2B7H1
0,3,3,0,0,0,6,0,1,0,0,0,5,12,3,8,8,2,F6A12B1
0,2,1,4,1,0,7,0,1,0,0,1,3,8,2,8,8,3,G6A11E1
0,0,1,3,0,0,4,0,1,0,0,6,2,10,7,12,12,0,E2F7A1
6,9,4,7,2,1,12,0,2,0,0,2,6,25,25,61,22,4,A3H10B1
1,2,1,5,1,1,5,0,0,0,0,2,6,18,8,21,14,3,B3H11H1
1,1,3,2,0,0,5,0,1,0,0,3,3,26,16,26,16,5,E6B7A1
6,6,4,4,2,0,8,0,0,0,0,6,6,20,30,21,16,4,A3E12A1
1,6,2,4,0,0,12,0,1,0,0,3,6,16,19,27,17,3,C6D8B1
2,7,3,6,0,0,18,0,2,0,0,8,12,33,32,39,17,2,C3C11B1
0,0,1,1,0,0,5,0,0,0,0,4,1,7,3,15,7,0,C3B11B1
7,6,1,9,2,0,21,0,0,0,1,3,7,35,26,47,26,4,A3B10A1
0,4,1,2,3,0,5,0,2,0,0,1,0,8,11,17,2,3,C2D11H1
1,0,1,4,0,0,7,0,1,0,0,2,3,10,8,20,11,1,C3F10A1
0,1,0,3,1,0,8,0,0,0,0,3,2,7,8,9,5,1,F5A9B1
1,0,1,1,0,0,3,0,0,0,0,1,6,7,5,17,10,1,B3E12E1
1,2,1,1,1,0,10,0,1,0,0,2,6,11,8,20,11,0,B6F12H1
5,4,0,2,1,0,9,0,1,0,0,4,6,15,19,23,15,2,C3G9H1
1,6,0,6,2,0,19,0,2,1,0,5,7,45,31,59,23,0,D2H8A1
1,1,0,4,1,0,8,0,0,0,0,1,3,17,6,26,7,0,A1G12A1
1,7,3,9,3,0,8,0,2,0,0,4,5,16,17,36,19,2,E2F12E1
0,3,3,1,2,0,6,0,1,0,0,1,3,9,14,27,12,1,E3C7D1
2,7,4,1,5,0,6,0,3,0,0,5,4,21,24,28,11,6,H1A9D1
8,13,4,17,3,0,27,0,5,0,0,8,13,68,40,94,47,6,H1A8B1
1,3,1,2,1,0,6,0,1,1,0,2,1,12,13,17,11,0,H2H11H1
3,2,1,3,1,0,9,0,3,0,0,3,11,16,16,30,18,7,H1A7H1
